"Source title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cooperation Emergence of Manufacturing Services in Cloud Manufacturing With Agent-Based Modeling and Simulating","P. Lou; J. Hu; C. Zhu; J. Yan; L. Yuan","School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China; School of Information Engineering, Wuhan University of Technology, Wuhan, China",IEEE Access,"12 Feb 2021","2021","9","","24658","24668","With the development of information and network technology, a new type of manufacturing paradigm, known as a service-oriented Cloud Manufacturing (CMfg), is emerged. In the CMfg paradigm, geographically distributed various manufacturing resources authorized by different companies are encapsulated as different manufacturing services (MSs) supported by the enabling technologies, such as cloud computing, Industrial Internet of Things, virtualization technologies, etc. MSs are provided according to the demands of manufacturing tasks (MTs) presented by various customers via the IoT (Internet of Things) in CMfg paradigm. Generally, one MS may complete one MT, but mostly one MT needs more MSs to complete it cooperatively. Furthermore, these MSs are perhaps controlled and managed by different enterprises. As an autonomous entity, each MS generally makes decision in light of its own interests, and their own interests generally have conflicts with the others' and the collective ones. To solve the conflicts through MSs' cooperation is an efficient and low-cost method to maximize both individual and collective interests. Hence, the influences of individual decision-making behaviors on cooperation are explored and discussed in CMfg paradigm. The evolutionary game theory and agent-based modeling and simulating method are employed to model and simulate individual behaviors of MSs during the process of forming the coalition for completing MTs. In addition, the learning mechanism of MSs is discussed in the decision-making process. The simulation results show that decision behaviors of MSs are positively influenced by the information transparency of the CMfg environment and the learning mechanism of MSs effects on the cooperative emergence.","2169-3536","","10.1109/ACCESS.2021.3055587","National Natural Science Foundation of China(grant numbers:52075404); Application Foundation Frontier Special Project of Wuhan Science and Technology Bureau(grant numbers:2020010601012176); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9340180","Cloud manufacturing;public good game;learning automaton;agent-based modeling and simulating","Manufacturing;Games;Game theory;Learning automata;Cloud computing;Analytical models;Computer architecture","","2","","43","CCBY","29 Jan 2021","","","IEEE","IEEE Journals"
"A Secure Trust Method for Multi-Agent System in Smart Grids Using Blockchain","R. Khalid; O. Samuel; N. Javaid; A. Aldegheishem; M. Shafiq; N. Alrajeh","Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Department of Urban Planning, College of Architecture and Planning, King Saud University, Riyadh, Saudi Arabia; Department of Information and Communication Engineering, Yeungnam University, Gyeongsan, South Korea; Department of Biomedical Technology, College of Applied Medical Sciences, King Saud University, Riyadh, Saudi Arabia",IEEE Access,"23 Apr 2021","2021","9","","59848","59859","This paper proposes a blockchain based trust management method for agents in a multi-agent system (MAS). In this work, three objectives are achieved: trust, cooperation and privacy. The trust of agents depends on the credibility of trust evaluators, which is verified using the proposed methods of trust distortion, consistency and reliability. To enhance the cooperation between agents, a tit-3-for-tat (T3FT) repeated game strategy is developed. The strategy is more forgiving than the existing tit-for-tat (TFT) strategy. It encourages cheating agents to re-establish their trust by cooperating for three consecutive rounds of play. Also, a proof-of-cooperation consensus protocol is proposed to improve agents' cooperation while creating and validating blocks. The privacy of agents is preserved in this work using the publicly verifiable secret sharing mechanism. The proposed methods are implemented using MATLAB R2018a while the MAS is simulated using Java Agent DEvelopment framework (JADE). Simulation results validate the effectiveness of the proposed work. From the simulation results, the proposed trust method outperforms an existing fuzzy logic trust method in terms of detecting the cheating behavior of agents in the system. Besides, the proposed T3FT strategy is effective as compared to the existing tit-for-2-tat and TFT strategies in the literature. Moreover, the security analysis of the proposed method is performed. The analysis shows that the proposed work is safe from bad-mouthing and on-off trust related attacks.","2169-3536","","10.1109/ACCESS.2021.3071431","King Saud University, Riyadh, Saudi Arabia(grant numbers:RSP-2020/295); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9395589","Blockchain;multi-agent system;multi-secret sharing;proof-of-cooperation;repeated game;tit-3-for-tat;urban planning;trust management system","Privacy;Distortion;TV;Trust management;Sensitivity;Reliability;Thin film transistors","","33","","23","CCBY","6 Apr 2021","","","IEEE","IEEE Journals"
"The State of the Art of Emergent Software Systems","A. Shatnawi; E. Faye; B. Rima; Z. A. Shara; A. -D. Seriai","Direction of Research and Innovation, Berger-Levrault, Mauguio, France; Direction of Research and Innovation, Berger-Levrault, Mauguio, France; Direction of Research and Innovation, Berger-Levrault, Mauguio, France; Department of Software Engineering, Jordan University of Science and Technology, Irbid, Jordan; Department of Software Engineering, Jordan University of Science and Technology, Irbid, Jordan",IEEE Access,"1 Mar 2024","2024","12","","31808","31823","Emergent Software Systems (ESSs) are designed to reduce the initial effort in creating autonomous solutions and fully adaptive support systems that can autonomously learn the system’s structure and operating environment without predefined knowledge. These models notably minimize/exclude the involvement of developers in the composition, maintenance, and evolution of software systems. Despite extensive research on self-adaptive systems, systematic reviews focusing specifically on ESSs are lacking. This paper addresses this gap by performing a systematic literature review on ESSs. Our goal is to equip researchers and industry practitioners with a comprehensive view of existing ESSs, enabling them to select approaches that meet their requirements and identify potential research avenues. The research questions are centered around knowing what ESSs are and identifying the set of activities essential for their creation. From an initial collection of 496 papers identified through search engines, 39 papers met our inclusion and exclusion criteria for retention and in-depth analysis. Finally, we build a taxonomy to categorize existing ESS approaches and dissect various ESS definitions to pinpoint their main characteristics. The taxonomy is structured around the goals, processes and usability of ESSs. Our research reveals an emphasis on non-functional adaptation objectives within current ESSs. Despite this focus, the majority of existing ESSs are still in the proof-of-concept phase and have undergone minimal testing in industrial settings. While present ESS investigations largely revolve around areas such as web service computing, internet of things, and cyber-physical systems, we advocate for further exploration of their potential utility in other application domains such as robotics, aerospace, and unmanned vehicles.","2169-3536","","10.1109/ACCESS.2024.3369903","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10445183","Emergent software systems;automatic computing;self-learning;self-adaptation","Software systems;Adaptation models;Usability;Systematics;Monitoring;Maintenance engineering;Computers;Self-supervised learning;Learning systems;Autonomous systems","","1","","51","CCBYNCND","26 Feb 2024","","","IEEE","IEEE Journals"
"Simulation of the Separating Crowd Behavior in a T-Shaped Channel Based on the Social Force Model","Z. Yuan; R. Guo; S. Tang; B. He; L. Bian; Y. Li","Shenzhen Key Laboratory of Spatial Information Smart Sensing and Services, School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; Shenzhen Key Laboratory of Spatial Information Smart Sensing and Services, School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; Shenzhen Key Laboratory of Spatial Information Smart Sensing and Services, School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; Shenzhen Key Laboratory of Spatial Information Smart Sensing and Services, School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; Shenzhen Key Laboratory of Spatial Information Smart Sensing and Services, School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China; Shenzhen Key Laboratory of Spatial Information Smart Sensing and Services, School of Architecture and Urban Planning, Research Institute for Smart Cities, Shenzhen University, Shenzhen, China",IEEE Access,"8 Feb 2019","2019","7","","13668","13682","The separating behavior defines the division of a crowd from a single flow into two distributary flows due to the different pedestrians' destinations. Nevertheless, in the existing literature on pedestrian flow, there is a lack of simulation research on the separating crowd behavior in a T-shaped channel. By conducting a series of controlled experiments, we analyzed the moving trajectories and the spatial and temporal distribution characteristics of pedestrians in the separation process. Based on an analysis of the controlled experiments, we proposed an improved social force model that fully considers the characteristics of pedestrians' swapping locations, and refines the directions of pedestrians' expected speeds in three stages of the pedestrian separation process. During the simulation, we applied the improved model to explore the effects of the pedestrians' swapping locations on the macroscopic phenomena, microscopic individual behavior, and traffic efficiency within a T-shaped channel. The simulation results show that if pedestrians' swapping locations are concentrated in a certain area close to the entrance, the traffic efficiency in the T-shaped channel will be higher than that if the pedestrians' swapping locations are dispersed. Moreover, as the flow rate at the entrance increases, the swapping location becomes more concentrated closer to the entrance, the mean speed increases, and fewer conflicts occur between the pedestrians.","2169-3536","","10.1109/ACCESS.2019.2894345","NSFC (Jilin Science and Technology Development Program)(grant numbers:51278221,51378076,41701187,20170101155JC); National Natural Science Foundation of China(grant numbers:41801392); China Postdoctoral Science Foundation(grant numbers:2018M640821,2018M633133,2018M643150); Open Fund of Key Laboratory of Urban Land Resources Monitoring and Simulation(grant numbers:KF-2018-03-031); Ministry of Land and Resources, Shenzhen, China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8624324","Crowd safety;pedestrian dynamics;swapping location;traffic optimization","Force;Analytical models;Data models;Merging;Legged locomotion;Separation processes;Numerical models","","17","","51","OAPA","23 Jan 2019","","","IEEE","IEEE Journals"
"Transfer Learning Applied to Deep Reinforcement Learning for 6G Resource Management in Intra- and Inter-Slice RAN-Edge Domains","S. Mhatre; F. Adelantado; K. Ramantas; C. Verikoukis","Signal Theory and Communications Department, Universitat Politecnica de Catalunya, Barcelona, Spain; Universitat Oberta de Catalunya (UOC), Barcelona, Spain; Iquadrat Informatica, Barcelona, Spain; Iquadrat Informatica, Barcelona, Spain",IEEE Transactions on Consumer Electronics,"18 Aug 2025","2025","71","2","6659","6672","Leveraging the power of deep reinforcement learning (DRL) and strategic knowledge transfer, our study introduces PIRA-DRL-DTRL, a novel approach to optimizing resource allocation in emerging 6G networks. Central to this research is the innovative application of artificial intelligence (AI) at the network’s edge, enabling efficient management of resources across diverse timeframes while enhancing overall network performance. Implemented within an Open Radio Access Network (O-RAN) architecture, PIRA-DRL-DTRL employs a two-tiered decision-making system to dynamically adapt to varying network demands, ensuring optimal resource allocation for enhanced mobile broadband (eMBB), ultra-reliable low-latency communications (URLLC), and massive machine-type communications (mMTC). Our proposed algorithm achieves significant performance gains, providing a 14.28% and 10.67% improvement in throughput for eMBB slices compared to DRL-only and state-of-the-art (SOTA) methods, respectively. Additionally, it reduces delay by 23.57% and 7.48% compared to baseline and SOTA approaches for eMBB slices. By predicting and adapting to network slice demands, PIRA-DRL-DTRL ensures seamless service delivery. This research lays the groundwork for smarter, more efficient 6G networks capable of meeting the dynamic needs of users and applications.","1558-4127","","10.1109/TCE.2025.3553407","6G-BRICKS(grant numbers:101096954); SUNRISE-6G(grant numbers:101139257); RF-VOLUTION through the Spanish Ministry of Science, Innovation and Universities(grant numbers:PID2021-122247OB-I00); Generalitat de Catalunya(grant numbers:2021 SGR 174); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10935668","6G;O-RAN;radio access network;radio resource management;network slicing;artificial intelligence;machine learning;deep reinforcement learning;transfer learning;intra- and inter-slice scheduling","Resource management;Convergence;Open RAN;Transfer learning;Heuristic algorithms;Quality of service;Artificial intelligence;6G mobile communication;Dynamic scheduling;Training","","4","","29","CCBY","20 Mar 2025","","","IEEE","IEEE Journals"
"Battlefield Target Intelligence System Architecture Modeling and System Optimization","W. Li; Y. Wang; L. Jia; S. Peng; R. He","School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China",Journal of Systems Engineering and Electronics,"13 Nov 2024","2024","35","5","1190","1210","To address the current problems of poor generality, low real-time, and imperfect information transmission of the battlefield target intelligence system, this paper studies the battlefield target intelligence system from the top-level perspective of multi-service joint warfare. First, an overall planning and analysis method of architecture modeling is proposed with the idea of a bionic analogy for battlefield target intelligence system architecture modeling, which reduces the difficulty of the planning and design process. The method introduces the Department of Defense architecture framework (DoDAF) modeling method, the multi-living agent (MLA) theory modeling method, and other combinations for planning and modeling. A set of rapid planning methods that can be applied to model the architecture of various types of complex systems is formed. Further, the liveness analysis of the battlefield target intelligence system is carried out, and the problems of the existing system are presented from several aspects. And the technical prediction of the development and construction is given, which provides directional ideas for the subsequent research and development of the battlefield target intelligence system. In the end, the proposed architecture model of the battlefield target intelligence system is simulated and verified by applying the colored Petri nets (CPN) simulation software. The analysis demonstrates the reasonable integrity of its logic.","1004-4132","","10.23919/JSEE.2024.000114","National Natural Science Foundation of China(grant numbers:41927801); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10752329","battlefield target intelligence system;architecture modeling;bionic design;system optimization;simulation verification","Analytical models;Biological system modeling;Systems architecture;Computer architecture;Reconnaissance;Big Data;Software;Planning;Logic;Optimization","","","","59","","13 Nov 2024","","","BIAI","BIAI Journals"
"Twin Delayed Deep Deterministic Policy Gradient-Based Target Tracking for Unmanned Aerial Vehicle With Achievement Rewarding and Multistage Training","N. Abo Mosali; S. S. Shamsudin; O. Alfandi; R. Omar; N. Al-Fadhali","Research Center for Unmanned Vehicles, Faculty of Mechanical and Manufacturing Engineering, Universiti Tun Hussein Onn Malaysia, Parit Raja, Batu Pahat, Johor, Malaysia; Research Center for Unmanned Vehicles, Faculty of Mechanical and Manufacturing Engineering, Universiti Tun Hussein Onn Malaysia, Parit Raja, Batu Pahat, Johor, Malaysia; College of Technological Innovation, Zayed University, Abu Dhabi, United Arab Emirates; Faculty of Electrical and Electronic Engineering, Universiti Tun Hussein Onn Malaysia (UTHM), Parit Raja, Johor, Malaysia; Faculty of Electrical and Electronic Engineering, Universiti Tun Hussein Onn Malaysia (UTHM), Parit Raja, Johor, Malaysia",IEEE Access,"7 Mar 2022","2022","10","","23545","23559","Target tracking using an unmanned aerial vehicle (UAV) is a challenging robotic problem. It requires handling a high level of nonlinearity and dynamics. Model-free control effectively handles the uncertain nature of the problem, and reinforcement learning (RL)-based approaches are a good candidate for solving this problem. In this article, the Twin Delayed Deep Deterministic Policy Gradient Algorithm (TD3), as recent and composite architecture of RL, was explored as a tracking agent for the UAV-based target tracking problem. Several improvements on the original TD3 were also performed. First, the proportional-differential controller was used to boost the exploration of the TD3 in training. Second, a novel reward formulation for the UAV-based target tracking enabled a careful combination of the various dynamic variables in the reward functions. This was accomplished by incorporating two exponential functions to limit the effect of velocity and acceleration to prevent the deformation in the policy function approximation. In addition, the concept of multistage training based on the dynamic variables was proposed as an opposing concept to one-stage combinatory training. Third, an enhancement of the rewarding function by including piecewise decomposition was used to enable more stable learning behaviour of the policy and move out from the linear reward to the achievement formula. The training was conducted based on fixed target tracking followed by moving target tracking. The flight testing was conducted based on three types of target trajectories: fixed, square, and blinking. The multistage training achieved the best performance with both exponential and achievement rewarding for the fixed trained agent with the fixed and square moving target and for the combined agent with both exponential and achievement rewarding for a fixed trained agent in the case of a blinking target. With respect to the traditional proportional differential controller, the maximum error reduction rate is 86%. The developed achievement rewarding and the multistage training opens the door to various applications of RL in target tracking.","2169-3536","","10.1109/ACCESS.2022.3154388","Zayed University Cluster(grant numbers:R19046); Universiti Tun Hussein Onn Malaysia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9721287","Navigation;reinforcement learning;target tracking;twin delayed deep deterministic policy gradient;unmanned aerial vehicles","Target tracking;Autonomous aerial vehicles;Training;Vehicle dynamics;Task analysis;Reinforcement learning;Trajectory tracking","","23","","46","CCBY","24 Feb 2022","","","IEEE","IEEE Journals"
"Distributed Optimization for Distribution Grids With Stochastic DER Using Multi-Agent Deep Reinforcement Learning","M. Al-Saffar; P. Musilek","Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada; Department of Electrical and Computer Engineering, University of Alberta, Edmonton, AB, Canada",IEEE Access,"30 Apr 2021","2021","9","","63059","63072","This article develops a special decomposition methodology for the traditional optimal power flow which facilitates optimal integration of stochastic distributed energy resources in power distribution systems. The resulting distributed optimal power flow algorithm reduces the computational complexity of the conventional linear programming approach while avoiding the challenges associated with the stochastic nature of the energy resources and loads. It does so using machine learning algorithms employed for two crucial tasks. First, two proposed algorithms, Dynamic Distributed Multi-Microgrid and Monte Carlo Tree Search based Reinforcement Learning, constitute dynamic microgrids of network nodes to confirm the electric power transaction optimality. Second, the optimal distributed energy resources are obtained by the proposed deep reinforcement learning method named Multi Leader-Follower Actors under Centralized Critic. It accelerates conventional linear programming approach by considering a reduced set of resources and their constraints. The proposed method is demonstrated through a real-time balancing electricity market constructed over the IEEE 123-bus system and enhanced using price signals based on distribution locational marginal prices. This application clearly shows the ability of the new approach to effectively coordinate multiple distribution system entities while maintaining system security constraints.","2169-3536","","10.1109/ACCESS.2021.3075247","Canada First Research Excellence Fund (CFREF) under the Future Energy Systems Research Initiative at the University of Alberta; Natural Science and Engineering Research Council (NSERC) of Canada(grant numbers:RGPIN-2017-05866); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9411856","Distributed architecture;distributed optimization;Monte Carlo tree search;multi-agent deep reinforcement learning;optimal power flow","Optimization;Microgrids;Heuristic algorithms;Stochastic processes;Power systems;Real-time systems;Convex functions","","14","","53","CCBY","23 Apr 2021","","","IEEE","IEEE Journals"
"FARANE-Q: Fast Parallel and Pipeline Q-Learning Accelerator for Configurable Reinforcement Learning SoC","N. Sutisna; A. M. R. Ilmy; I. Syafalni; R. Mulyawan; T. Adiono","School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia; School of Electrical Engineering and Informatics, Institut Teknologi Bandung, Bandung, Indonesia",IEEE Access,"3 Jan 2023","2023","11","","144","161","This paper proposes a FAst paRAllel and pipeliNE Q-learning accelerator (FARANE-Q) for a configurable Reinforcement Learning (RL) algorithm implemented in a System on Chip (SoC). The proposed work offers flexibility, configurability, and scalability while maintaining computation speed and accuracy to overcome the challenges of a dynamic environment and increasing complexity. The proposed method includes a Hardware/Software (HW/SW) design methodology for the SoC architecture to achieve flexibility. We also propose joint optimizations on the algorithm, architecture, and implementation to obtain optimum (high efficiency) performance, specifically in energy and area efficiency. Furthermore, we implemented the proposed design in a real-time Zynq Ultra96-V2 FPGA platform to evaluate the functionality with an actual use case of smart navigation. Experimental results confirm that the proposed accelerator FARANE-Q outperforms state-of-the-art works by achieving a throughput of up to 148.55 MSps. It corresponds to the energy efficiency of 1747.64 MSps/W per agent for 32-bit and 2424.33 MSps/W per agent for 16-bit FARANE-Q. Moreover, the proposed 16-bit FARANE-Q outperforms other related works by an improvement of at least  $1.23\times $  in energy efficiency. The designed system also maintains an error accuracy of less than 0.4% with optimized bit precision for more than eight fraction bits. The proposed FARANE-Q also offers a speed up of processing time up to  $1795\times $  compared to embedded SW computation executed on ARM Zynq processor and  $280\times $  of computation of full software executed on i7 processor. Hence, the proposed work has the potential to be used for smart navigation, robotic control, and predictive maintenance.","2169-3536","","10.1109/ACCESS.2022.3232853","Bandung Institute of Technology [Institut Teknologi Bandung (ITB)] Research Program 2021; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10002361","Q-learning;reinforcement learning;HW accelerator;FPGA;SoC","Q-learning;Computer architecture;Field programmable gate arrays;Throughput;Heuristic algorithms;System-on-chip;Pipelines","","15","","45","CCBY","28 Dec 2022","","","IEEE","IEEE Journals"
"Distributed Artificial Intelligence Enabled Aerial-Ground Networks: Architecture, Technologies and Challenges","Z. Xia; J. Du; Y. Ren; Z. Han","Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electronic Engineering, Tsinghua University, Beijing, China; Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA",IEEE Access,"11 Oct 2022","2022","10","","105447","105457","Artificial intelligence (AI) provides a promising and novel direction to design future time-varying wireless networks by leading to significantly superior performances compared to conventional methods. In addition, the advanced deployment of unmanned aerial vehicles (UAVs) has boosted extensive novel research results and industrial products in terms of aerial-ground networks. However, with the rapid development of mobile networks and growing requirements for low-latency services, the conventional centralized aerial-ground network has failed to meet the time-varying expectations of mobile users in the dynamic network environment. To cope with the problems, the marriage of the aerial-ground network and innovative AI techniques, i.e., distributed artificial intelligence enabled aerial-ground network (DAIAGN), is proposed in this article, which consists of three vital components: deep reinforcement learning enabled distributed information sharing, edge intelligence enabled distributed security management, and multi-agent reinforcement learning enabled distributed decision making. The functions of the three components are elaborated, and recent related advances are surveyed in detail. A specific case study is also provided with respect to multi-agent reinforcement learning enabled distributed decision making. Furthermore, key challenges and open issues are also discussed to provide some guidances for potential future directions.","2169-3536","","10.1109/ACCESS.2022.3210337","National Key Research and Development Program of China(grant numbers:2020YFD0901000); National Natural Science Foundation of China(grant numbers:61971257,62127801); Young Elite Scientist Sponsorship Program by China Association for Science and Technology (CAST)(grant numbers:2020QNRC001); Project The Verification Platform of Multi-Tier Coverage Communication Network for Oceans through the Peng Cheng Laboratory(grant numbers:LZC0020); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9904596","Distributed network;aerial-ground network;artificial intelligence;reinforcement learning;edge intelligence","Access control;Optimization;Information sharing;Reinforcement learning;Artificial intelligence;Distributed decision making;Internet of Things;Edge computing","","8","","33","CCBY","27 Sep 2022","","","IEEE","IEEE Journals"
"Building a General Purpose Pedagogical Agent in a Web-Based Multimedia Clinical Simulation System for Medical Education","Y. -M. Cheng; L. -S. Chen; H. -C. Huang; S. -F. Weng; Y. -G. Chen; C. -H. Lin","Department of Computer Science and Information Engineering, Shu Te University, Kaohsiung, Taiwan; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan; Institute of Computer and Communication Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Electrical Engineering, National Cheng Kung University, Tainan, Taiwan; College of Medicine, National Cheng Kung University, Tainan, Taiwan",IEEE Transactions on Learning Technologies,"11 Sep 2009","2009","2","3","216","225","In medical education, pedagogical agents are widely used by computer learning systems to simulate tutors and/or mimic tutoring interactions, as well as offering just-in-time and adaptive feedback. Although the theoretical aspect of the pedagogical agents has been well-documented in literature, relatively fewer efforts have been made on how a pedagogical agent should be implemented in a real multimedia computerized simulation learning environment. In this paper, we propose a general purpose pedagogical agent architecture and implement it in the multimedia medical simulation Web-based learning system called health information network teaching system (HINTS) to further facilitate students' learning and thereby make the HINTS a more helpful educational tool. Our focus is the design of the general purpose pedagogical architecture and its implementation in a multimedia computerized simulation learning environment. A preliminary students' performance evaluation result is also reported. We analyzed how to evaluate the students' performance and how the hints were given by the pedagogical agent. The system has been installed in the National Cheng Kung University Medical Center, Tainan, Taiwan for trial purposes. Some experiments have been conducted and the results have shown that the pedagogical agent indeed help the students in their learning process.","1939-1382","","10.1109/TLT.2009.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4815202","e-Learning for medical education;pedagogical agent;computer-assisted learning;virtual peers;human-computer interaction;learning companions.","Education;Multimedia communication;Computational modeling;Multimedia systems;Laboratories;Medical diagnostic imaging;Data mining","","24","","35","IEEE","17 Apr 2009","","","IEEE","IEEE Journals"
"Deep Fusion Intelligence: Enhancing 5G Security Against Over-the-Air Attacks","M. Amini; G. Asemian; B. Kantarci; C. Ellement; M. Erol-Kantarci","School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, ON, Canada; School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, ON, Canada; School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, ON, Canada; Artificial Intelligence Solutions, thinkRF, Ottawa, ON, Canada; School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, ON, Canada",IEEE Transactions on Machine Learning in Communications and Networking,"31 Jan 2025","2025","3","","263","279","With the increasing deployment of 5G networks, the vulnerability to malicious interference, such as jamming attacks, has become a significant concern. Detecting such attacks is crucial to ensuring the reliability and security of 5G communication systems Specifically in CAVs. This paper proposes a robust jamming detection system addressing challenges posed by impairments, such as Carrier Frequency Offset (CFO) and channel effects. To improve overall detection performance, the proposed approach leverages deep ensemble learning techniques by fusing different features with different sensitivities from the RF domain and Physical layer namely, Primary Synchronization Signal (PSS) and Secondary Synchronization Signal (SSS) cross-correlations in the time and the frequency domain, the energy of the null subcarriers, and the PBCH Error Vector Magnitude (EVM). The ensemble module is optimized for the aggregation method and different learning parameters. Furthermore, to mitigate the false positive and false negative, a systematic approach, termed Temporal Epistemic Decision Aggregator (TEDA) is introduced, which elegantly navigates the time-accuracy tradeoff by seamlessly integrating temporal decisions, thereby enhancing decision reliability. The presented approach is also capable of detecting inter-cell/inter-sector interference, thereby enhancing situational awareness on 5G air interface and RF domain security. Results show that the presented approach achieves the Area Under Curve (AUC) of 0.98, outperforming other compared methods by at least 0.06 (a 6% improvement). The true positive and negative rates are reported as 93.5% and 91.9%, respectively, showcasing strong performance for scenarios with CFO and channel impairments and outperforming the other compared methods by at least 12%. An optimization problem is formulated and solved based on the level of uncertainty observed in the experimental set-up and the optimum TEDA configuration is derived for the target false-alarm and miss-detection probability. Ultimately, the performance of the entire architecture is confirmed through analysis of real 5G signals acquired from a practical testbed, showing strong agreement with the simulation results.","2831-316X","","10.1109/TMLCN.2025.3533427","Natural Sciences and Engineering Research Council of Canada (NSERC) CREATE TRAVERSAL Program; NSERC Discovery Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10851353","5G security;ensemble learning;deep learning;jamming detection;synchronization signals;RF domain","Jamming;5G mobile communication;Radio frequency;Security;Feature extraction;Synchronization;Amplitude modulation;Computer architecture;Accuracy;Wireless networks","","3","","47","CCBYNCND","23 Jan 2025","","","IEEE","IEEE Journals"
"Machine Learning in Network Slicing—A Survey","H. P. Phyu; D. Naboulsi; R. Stanica","Département de Génie Logiciel et des Technologies de l’information, École de Technologie Supérieure, Université du Québec, Montreal, Canada; Département de Génie Logiciel et des Technologies de l’information, École de Technologie Supérieure, Université du Québec, Montreal, Canada; Inria, CITI, INSA Lyon, University of Lyon, Villeurbanne, France",IEEE Access,"25 Apr 2023","2023","11","","39123","39153","5G and beyond networks are expected to support a wide range of services, with highly diverse requirements. Yet, the traditional “one-size-fits-all” network architecture lacks the flexibility to accommodate these services. In this respect, network slicing has been introduced as a promising paradigm for 5G and beyond networks, supporting not only traditional mobile services, but also vertical industries services, with very heterogeneous requirements. Along with its benefits, the practical implementation of network slicing brings a lot of challenges. Thanks to the recent advances in machine learning (ML), some of these challenges have been addressed. In particular, the application of ML approaches is enabling the autonomous management of resources in the network slicing paradigm. Accordingly, this paper presents a comprehensive survey on contributions on ML in network slicing, identifying major categories and sub-categories in the literature. Lessons learned are also presented and open research challenges are discussed, together with potential solutions.","2169-3536","","10.1109/ACCESS.2023.3267985","National Natural Sciences and Engineering Research Council of Canada (NSERC)(grant numbers:RGPIN-2020-06050); Fonds de Recherche du Québec—Nature et Technologies (FRQNT)(grant numbers:FRQNT 2022-NC-297403); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10103689","Network slicing;5G network;machine learning","Network slicing;5G mobile communication;Resource management;Mathematical models;Predictive models;Machine learning;Computer architecture","","45","","212","CCBYNCND","17 Apr 2023","","","IEEE","IEEE Journals"
