DOI,Document title,Abstract,REASON
10.1016/j.artint.2024.104181,Planning with mental models – Balancing explanations and explicability,"Human-aware planning involves generating plans that are explicable, i.e. conform to user expectations, as well as providing explanations when such plans cannot be found. In this paper, we bring these two concepts together and show how an agent can achieve a trade-off between these two competing characteristics of a plan. To achieve this, we conceive a first-of-its-kind planner MEGA that can reason about the possibility of explaining a plan in the plan generation process itself. We will also explore how solutions to such problems can be expressed as “self-explaining plans” – and show how this representation allows us to leverage classical planning compilations of epistemic planning to reason about this trade-off at plan generation time without having to incur the computational burden of having to search in the space of differences between the agent model and the mental model of the human in the loop in order to come up with the optimal trade-off. We will illustrate these concepts in two well-known planning domains, as well as with a robot in a typical search and reconnaissance task. Human factor studies in the latter highlight the usefulness of the proposed approach. © 2024",
10.1016/j.is.2020.101639,A knowledge-intensive adaptive business process management framework,"Business process management has been the driving force of optimization and operational efficiency for companies until now, but the digitalization era we have been experiencing requires businesses to be agile and responsive as well. In order to be a part of this digital transformation, delivering new levels of automation-fueled agility through digitalization of BPM itself is required. However, the automation of BPM cannot be achieved by solely focusing on process space and classical planning techniques. It requires a holistic approach that also captures the social aspects of the business environment, such as corporate strategies, organization policies, negotiations, and cooperation. For this purpose, we combine BPM, knowledge-intensive systems and intelligent agent technologies, and yield one consolidated intelligent business process management framework, namely agileBPM, that governs the entire BPM life-cycle. Accordingly, agileBPM proposes a modeling methodology to semantically capture the business interests, enterprise environment and process space in accordance with the agent-oriented software engineering paradigm. The proposed agent-based process execution environment provides cognitive capabilities (such as goal-driven planning, norm compliance, knowledge-driven actions, and dynamic cooperation) on top of the developed business models to support knowledge workers’ multi-criteria decision making tasks. The context awareness and exception handling capabilities of the proposed approach have been presented with experimental studies. Through comparative evaluations, it is shown that agileBPM is the most comprehensive knowledge-intensive process management solution. © 2020",
10.1016/j.robot.2023.104415,A memory system of a robot cognitive architecture and its implementation in ArmarX,"Cognitive agents such as humans and robots perceive their environment through an abundance of sensors producing streams of data that need to be processed to generate intelligent behavior. A key question of cognition-enabled and AI-driven robotics is how to organize and manage such data and knowledge efficiently in a cognitive robot control architecture. We argue, that memory is a central active component of such architectures that mediates between semantic and sensorimotor representations, orchestrates the flow of data streams and events between different processes and provides the components of a cognitive architecture with data-driven services for learning semantics from sensorimotor data, the parametrization of symbolic plans for execution and prediction of action effects. Based on related work, and the experience gained in developing our ARMAR humanoid robot systems, we identified conceptual and technical requirements of a memory system as central component of cognitive robot control architecture that facilitate the realization of high-level cognitive abilities such as explaining, reasoning, prospection, simulation and augmentation. Conceptually, a memory should be active, support multi-modal data representations, associate knowledge, be introspective, and have an inherently episodic structure. Technically, the memory should support a distributed design, be access-efficient and capable of long-term data storage. We introduce the memory system for our cognitive robot control architecture and its implementation in the robot software framework ArmarX. We evaluate the efficiency of the memory system with respect to transfer speeds, compression, reproduction and prediction capabilities. © 2023",
10.1016/j.simpa.2023.100477,MERLIN2: MachinEd Ros 2 pLanINg[Formula presented],"Any service robot should be able to make decisions and schedule tasks to reach predefined goals such as opening a door or assisting users at home. However, these processes are not single short-term tasks anymore and it is required to set long-term skills for establishing a control architecture that allows robots to perform daily tasks. This paper presents MERLIN2, a hybrid cognitive architecture based on symbolic planning and state machine decision-making systems that allows performing robot behaviors. The architecture can run in any robot running ROS 2, the latest version of the Robot Operative System. MERLIN2 is available at https://github.com/MERLIN2-ARCH/merlin2. © 2023 The Author(s)",
10.1093/logcom/exad036,ECHO: A hierarchical combination of classical and multi-agent epistemic planning problems,"The continuous interest in Artificial Intelligence (AI) has brought, among other things, the development of several scenarios where multiple artificial entities interact with each other. As for all the other autonomous settings, these multi-agent systems require orchestration. This is, generally, achieved through techniques derived from the vast field of Automated Planning. Notably, arbitration in multi-agent domains is not only tasked with regulating how the agents act, but must also consider the interactions between the agents' information flows and must, therefore, reason on an epistemic level. This brings a substantial overhead that often diminishes the reasoning process's usability in real-world situations. To address this problem, we present ECHO, a hierarchical framework that embeds classical and multi-agent epistemic (epistemic, for brevity) planners in a single architecture. The idea is to combine (i) classical; and(ii) epistemic solvers to model efficiently the agents' interactions with the (i) 'physical world'; and(ii) information flows, respectively. In particular, the presented architecture starts by planning on the 'epistemic level', with a high level of abstraction, focusing only on the information flows. Then it refines the planning process, due to the classical planner, to fully characterize the interactions with the 'physical' world. To further optimize the solving process, we introduced the concept of macros in epistemic planning and enriched the 'classical' part of the domain with goal-networks. Finally, we evaluated our approach in an actual robotic environment showing that our architecture indeed reduces the overall computational time. © 2023 The Author(s). Published by Oxford University Press. All rights reserved.",
10.1109/ACCESS.2020.3003991,A Software Architecture for Service Robots Manipulating Objects in Human Environments,"This paper presents a software architecture for robots providing manipulation services autonomously in human environments. In an unstructured human environment, a service robot often needs to perform tasks even without human intervention and prior knowledge about tasks and environments. For autonomous execution of tasks, varied processes are necessary such as perceiving environments, representing knowledge, reasoning with the knowledge, and planning for task and motion. While developing each of the processes is important, integrating them into a working system for deployment is also important as a robotic system can bring tangible outcomes when it works in real world. However, such an architecture has been rarely realized in the literature owing to the difficulties of a full integration, deployment, understanding high-level goals without human interventions. In this work, we suggest a software architecture that integrates the components necessary to perform tasks by a real robot without human intervention. We show our architecture composed of deep learning based perception, symbolic reasoning, AI task planning, and geometric motion planning. We implement a deep neural network that produces information about the environment, which are then stored in a knowledge base. We implement a reasoner that processes the knowledge to use the result for task planning. We show our implementation of the symbolic task planner that generates a sequence of motion predicates. We implement an interface that computes geometric information necessary for motion planning to execute the symbolic task plans. We describe the deployment of the architecture through the result of lab tests and a public demonstration. The architecture is developed based on Robot Operating System (ROS) so compatible with any robot that is capable of object manipulation and mobile navigation running in ROS. We deploy the architecture to two different robot platforms to show the compatibility.",
10.1109/ACCESS.2020.3034524,Real-Time Object Navigation With Deep Neural Networks and Hierarchical Reinforcement Learning,"In the last years, deep learning and reinforcement learning methods have significantly improved mobile robots in such fields as perception, navigation, and planning. But there are still gaps in applying these methods to real robots due to the low computational efficiency of recent neural network architectures and their poor adaptability to robotic experiments' realities. In this article, we consider an important task in mobile robotics - navigation to an object using an RGB-D camera. We develop a new neural network framework for robot control that is fast and resistant to possible noise in sensors and actuators. We propose an original integration of semantic segmentation, mapping, localization, and reinforcement learning methods to improve the effectiveness of exploring the environment, finding the desired object, and quickly navigating to it. We created a new HISNav dataset based on the Habitat virtual environment, which allowed us to use simulation experiments to pre-train the model and then upload it to a real robot. Our architecture is adapted to work in a real-time environment and fully implements modern trends in this area.",
10.1109/ACCESS.2024.3406548,Business Process Automation in SMEs: A Systematic Literature Review,"Business Process Automation has been gaining increasing importance in the management of companies and organizations since it reduces the time needed to carry out routine tasks, freeing employees for other, more creative and exciting things. It can be applied in the most varied business areas. Organizations from any sector of activity can also adopt it. Given these benefits, the granted success in transforming business processes would be expected. However, automation initiatives still fail. Adopting this technology can raise social, technological, ethical, methodical, and organizational issues. These facts have triggered the necessity for a summary that could extract more information about how to implement Business Process Automation (BPA), attending to the administrative processes, especially when applied in Small and Medium-sized Enterprises (SMEs). This study aims not only to review the available literature on how to implement BPA but also to typify the processes that can be automated, which technologies or tools exist for making that change, and influence factors in the procedure of BPA. We have covered more than 300 research papers published between 2016 and 2023 in reputable scientific data sources like Scopus, Web of Science/Clarivate, and ScienceDirect/Elsevier. The review revealed some paths for BPA, with some common steps. In addition, some common process characteristics fundamental to automation are exposed, as well as factors that are critical to an organization for successful automation. The results indicate that BPA is an established area in Business Process Management related to technologies/tools like Robotic Process Automation (RPA) or Cognitive-Robotic Process Automation (C-RPA), Workflow Management Systems (WfMS), Enterprise Resource Planning (ERP), and Blockchain. As far as we observed, this Systematic Literature Review (SLR) is a unique study that covers all the environmental variables for applying automation in business processes.",
10.1109/ACCESS.2025.3583469,Knowledge-Based Planning for Human-Robot Collaborative Tasks,"Human-robot collaboration is a promising alternative to full automation and manual labour. Collaborative robots are considered safe and individual robot actions can often be easily programmed, for example, by physical hand-guiding. Coordinated collaboration, where tasks and the environment are shared, cannot be so easily achieved, due to continuously changing conditions and actions that need to be triggered at unknown instances. Besides, knowledge required for collaboration is difficult to program into robotic systems. This paper presents a system architecture that aims at facilitating human-robot collaboration by alleviating the need for pre-programmed information and exploring ways to teach new skills. This is done by reducing the amount of information required to program tasks by utilizing a knowledge base that represents knowledge on tasks, actions and the world. Automatic reasoning over conditions and properties of the knowledge is then utilized to generate available actions and action plans in order to complete the shared tasks. Moreover, learning new tasks is enabled by extending the original knowledge base, concatenating available actions and tasks into news bricks of knowledge. Two examples, a kitting task and a handover task, serve to validate the system architecture and exemplify its usage. Experiments demonstrate that by combining reasoning methods and knowledge-based planning, high-level shared tasks can be generated and executed, and robots can act reliable as teammate to human operators.",
10.1109/ACCESS.2025.3598864,A Digital Twin-Empowered Framework for Interactive Consumers in Manufacturing Using Wearable Device,"In the cyber-physical world, human-robot interaction (HRI) plays an increasingly important role in digital twin (DT)-enabled development, particularly in smart manufacturing. This investigation introduces a novel DT-based robotic framework for HRI (DTbRF-HRI), aiming to further productivity, automation, and safety. Our framework includes major elements such as real-time data communication, a common digital model, and a simulation environment for obstacle avoidance and autonomous manipulation. One contribution of our works is the application of an enhanced A-star algorithm for motion planning to support fast generation of paths and avoiding collisions. The data exchange between the physical and virtual agent is supported through system architecture and communication protocols, which meet with being very fast. The resulting framework is validated using numerical simulation and physical experiments in a common electronic consumer manufacturing scenario. Findings demonstrate the effectiveness, robustness, and practicability of DTbRF-HRI in improving intelligent robotic process in a cyber-physical system.",
10.1109/ACCESS.2025.3603738,An Adaptive Human–Robot Interaction Framework Using Real-Time Emotion Recognition and Context-Aware Task Planning,"Existing approaches often operate poorly in noisy or occluded conditions, rely on cloud-based inference subject to latency and privacy issues, and do not take emotional context into consideration while planning for a task. This research introduces the Emotion–Context Reinforced Planner, a novel human–robot interaction framework designed to deliver emotionally and contextually adaptive behaviors in real-time. The objective is to enhance social coherence and responsiveness while enabling intelligent action sequencing on low-power robotic platforms. The framework utilizes a multimodal emotion recognition system that relies on a confidence-weighted estimate of how facial and vocal features should be fused, a context encoder, and a reinforcement learning policy based on a Double Deep Q-Network. The framework’s architecture was engineered to be readily deployed on low-power embedded systems (Jetson Nano, Raspberry Pi 4) and evaluated via TensorRT quantization and kernel fusion. Experimental evaluations reveal a 92.1% F1-score in emotion classification, 94.2% task-switching accuracy, and 34.8 ms response latency outperforming state-of-the-art models including CLEF and Pepper-based multimodal planners. Performance in real-time was achieved with up to 30 FPS on edge devices. A user satisfaction rating of 4.4/5 indicates strong perceived coherence and empathy in social interaction scenarios. ECRP offers a robust, scalable, and socially coherent solution for real-time human–robot interaction, outperforming existing methods both in accuracy and latency. Its fusion of emotional understanding and adaptive task planning significantly improves human engagement, making it suitable for use in elderly care, education, and customer service domains.",
10.1109/ACCESS.2025.3610890,UnifiedKP: A Unified Network Knowledge Plane for Large Model-Enabled 6G Networks,"The emergence of large language models (LLMs) and agentic systems is revolutionizing the landscape of 6G networks by enabling unprecedented levels of autonomous intelligence, including self-configuration, self-optimization, and self-healing capabilities. However, current implementations face significant challenges. Individual intelligence tasks require isolated knowledge retrieval pipelines. This isolation results in redundant data flows, inconsistent interpretations, and increased operational complexity. Inspired by the service model unification efforts in Open-RAN that promote interoperability and vendor diversity, we propose UnifiedKP: a unified Network Knowledge Plane specifically designed for large model-enabled autonomous 6G network intelligence. By decoupling network knowledge acquisition and management from intelligence logic, UnifiedKP streamlines development workflows and significantly reduces maintenance complexity for intelligence engineers. Through an intuitive and consistent knowledge interface, UnifiedKP enhances interoperability for network intelligence agents while maintaining semantic consistency across diverse intelligence tasks. We demonstrate the effectiveness of UnifiedKP through two representative intelligence applications: live network knowledge question-answering and edge AI service orchestration. Experimental results show that UnifiedKP reduces knowledge retrieval latency by 47%, improves knowledge consistency by 82%, and decreases development complexity by 65% compared to traditional isolated approaches. Our framework achieves 94.3% accuracy in network anomaly detection and reduces service orchestration time by 38% in dynamic edge computing environments. These findings establish UnifiedKP as a foundational architecture for realizing truly autonomous and intelligent 6G networks.",
10.1109/ACCESS.2025.3612015,Agentic Reasoning for Social Event Extrapolation: Integrating Knowledge Graphs and Language Models,"Accurate prediction of socio-political events is a longstanding challenge with profound implications for risk management, policy planning, and international relations. Traditional machine learning approaches, such as graph neural networks and recurrent neural networks, have achieved notable progress but often struggle to integrate rich textual context and provide interpretable reasoning. Recent advances in large language models (LLMs) have demonstrated unprecedented capabilities across diverse tasks, including text generation, code synthesis, and complex multimodal reasoning, making them promising candidates for event prediction in dynamic, data-rich environments. This research presents an agentic reasoning framework combining temporal knowledge graphs, large language models (LLMs), and a modular tool-based architecture to address event extrapolation in complex, real-world settings. The methodology integrates agent-based reasoning, iterative tool invocation, and explicit validation mechanisms to ensure logical consistency and transparency in predictions. Experiments on country-specific subsets of the POLECAT dataset employ multiple LLM architectures and multiple evaluation metrics, including Hit@k, MRR, F1-scores and Prediction Entropy. Comparative analyses demonstrate that the agentic framework achieves robust predictive performance and interpretability, complementing fine-tuned LLM baselines. Furthermore, the ethical implications of deploying AI in social computing are addressed, including bias, transparency, and accountability. This study advances event prediction by demonstrating how agentic LLMs, equipped with explicit reasoning and validation, provide scalable and ethically grounded solutions for complex social event extrapolation.",
10.1109/ACCESS.2025.3630344,Cognitive Architectures in Autonomous Robotics: A Systematic Review of Behavior Generation Approaches and Evaluation Strategies,"Cognitive architectures are an essential component in the development of intelligent autonomous robots, enabling planning, learning, and adaptation to dynamic environments. This paper presents a systematic review of the literature focused on cognitive architectures applied to behavior generation in autonomous robotics. A structured search and selection process was conducted using multiple scientific databases, applying explicit inclusion, exclusion, and quality assessment criteria. From an initial set of 502 studies, 22 publications (2018–mid-2025) were selected for in-depth analysis. The review identifies a growing trend toward hybrid architectures that integrate symbolic reasoning with data-driven methods, such as neural networks and behavior trees. The types of architectures, tools used (such as symbolic planners, neural networks, and behavior trees), middleware employed (with a predominance of Robot Operating System), as well as the methods and metrics used in their evaluation, are analyzed. This review provides a detailed overview of the state of the art and highlights the technologies and approaches currently most widely used in the design of cognitive robotic systems.",
10.1109/ACSOS-C52956.2021.00066,BDI-Dojo: developing robust BDI agents in evolving adversarial environments,"The Belief-Desire-Intention (BDI) architecture is a widely-used model for developing multi-agent systems. BDI agents pursue their goals over time using a collection of plan recipes that are programmed by the developers. Thus, traditional BDI agents are limited in dealing with dynamic environments where uncertainties are not known beforehand, such as those introduced by adversarial forces. In this paper, we present the BDI-Dojo framework for developing robust BDI agents by training them using reinforcement learning against similarly learning-equipped adversarial agents. This adversarial training approach empowers BDI agents to become more resilient in uncertain, dynamic environments.",
10.1109/ACSOS61780.2024.00018,ReBeT: Architecture-based Self-adaptation of Robotic Systems through Behavior Trees,"Robotics software needs to be self-adaptive. Self-adaptation in robotics can, among others, take the form of changing a robot’s task plan or its software architecture at runtime. The latter has shown to be effective in satisfying quality requirements such as minimizing energy consumption and operating safely. However, most self-adaptive robotic systems perform architecture-based self-adaptation to meet the functional goal of completing an assigned mission. Additionally, the mechanisms to accomplish architectural adaptations are mostly adhoc and not oriented towards reuse. We in turn investigate how quality requirements and architecture-based self-adaptation can be facilitated in robotics software while integrating into existing practices to promote practitioners’ adoption and reuse. To this end, we design and implement an extension to the Behavior Trees (BTs) task plan formalism which introduces an explicit consideration of quality requirements. Additionally, we implement a general architectural adaptation layer for ROS2 systems and an extension to BTs which showcases its utilization. Finally, we perform quantitative experiments to evaluate the effectiveness of our approach in satisfying quality requirements via architectural adaptation on a mobile terrestrial robot. We find our approach to be an effective means to address a variety of self-adaptation scenarios within the mission of the system.",
10.1109/AERO50100.2021.9438257,Autonomous Robot Planning System for In-Space Assembly of Reconfigurable Structures,"Large-scale space structures, such as telescopes or spacecrafts, require suitable in-situ assembly technologies in order to overcome the limitations on payload size and mass of current launch vehicles. In many application scenarios, manual assembly by astronauts is either highly cost-inefficient or not feasible at all due to orbital constraints. However, (semi-) autonomous robotic assembly systems may provide the means to construct larger structures in space in the near future. Modularity is a key concept for such structures, and also for reducing costs in novel spacecraft designs. The advantage of the modular approach lies in the capability to generate a high number of unique assets from a reduced number of building blocks. Thus, spacecrafts can be easily adapted to particular use cases, and could even be reconfigured during their lifetime using a robotic manipulation system. These ideas lie at the core of our current EU project MOSAR (MOdular Spacecraft Assembly and Reconfiguration). Teleoperating a space robotic system from Earth to assemble a modular structure is not straightforward. Major difficulties are related to time delays, communication losses, limited control modalities, and low immersion for the operator. Autonomous robotic operations are then preferred, and with this goal we propose a fully autonomous system for planning in-space assembly tasks. Our system is able to generate assembly and reconfiguration plans for modular structures in terms of high-level actions that can autonomously be executed by a robot. Through multiple simulation layers, the system automatically verifies the feasibility and correctness of action sequences created by the planner. The layers implement different levels of abstraction, hierarchically stacked to detect infeasible transitions and initiate replanning at an early stage. Levels of abstraction increase in complexity, ranging from a basic geometric description of the spacecraft, over kinematics of the robotic setup, to full representations of the actions. The system reuses information from failed checks in all layers to avoid similar situations during replanning. We use a hybrid approach where symbolic reasoning is combined with considerations of physical constraints to generate a holistic sequence of actions. We demonstrate our planner for large space structures in a simulation environment. In particular, we consider the reconfiguration of a given modular structure, i.e. disassemble parts and reassemble them in a new configuration. The adaptability of our planning system is shown by executing the assembly plans on robots with different sets of skills and in scenarios with simulated hardware failures.",
