DOI,Document title,Abstract,REASON
10.1109/ACCESS.2020.3017561,"STEP-NC Architectures for Industrial Robotic Machining: Review, Implementation and Validation","In the manufacturing sector, industrial robots are being increasingly improved to execute machining tasks as they exhibit significant advantages in terms of flexibility, cost-effectiveness, affordability, and larger work-space when compared to traditional computer numeric control (CNC) machines. However, programming this kind of equipment for robotic machining is complex, due to closed architecture controller and proprietary programming languages limitations. For that reason, this work aims at contributing to the adoption of the STEP-NC standard (STandard for the Exchange of Product model data- Numerical Control (ISO 10303-238 and ISO 14649)), generating programs for robotic machining operations. The STEP-NC data model enables the integration of information from design, process planning, simulation, manufacturing, and even inspection in a single platform, which could create new alternatives for industrial robotic machining programming. In this context, several previous studies are described in this manuscript aiming to highlight the contribution of this work, in addition to the analysis, implementation, and validation of six different STEP-NC architectures describing the advantages that each architecture provides for achieving robotic machining capabilities. Each introduced architecture can successfully generate a STEP-NC robotic machining program, either as ISO 10303-238 or ISO 14649, which are validated in a simulation environment with both a virtual robot model and a real industrial robot equipped with a LinuxCNC controller. This approach can be implemented in different industrial robots.",TOPIC
10.1109/ACCESS.2020.3021126,Aerial Manipulator With Rolling Base for Inspection of Pipe Arrays,"This paper considers the inspection by contact of long arrays of pipe structures in hard-to-reach places, typical of chemical plants or oil and gas industries, presenting the design of a hybrid rolling-aerial platform capable of landing and moving along the pipes without wasting energy in the propellers during the inspection. The presented robot overcomes the limitation in terms of operation time and positioning accuracy in the application of flying robots to industrial inspection and maintenance tasks. The robot consists of a hexa-rotor platform integrating a rolling base with velocity and direction control, and a 5-DOF (degree of freedom) robotic arm supported by a 1-DOF linear guide system that facilitates the deployment of the arm in the array of pipes to inspect their contour once the platform has landed. Given a set of points to be inspected in different arrays of pipes, the path of the multirotor and the rolling platform is planned with a hybrid RRT* (Rapidly-exploring Random Tree) based algorithm that minimizes the energy consumption. The performance of the system is evaluated in an illustrative outdoor scenario with two arrays of pipes, using a laser tracking system to measure the position of the robot from the ground control station.",TOPIC
10.1109/ACCESS.2020.3028195,Towards Visual Inspection of Wind Turbines: A Case of Visual Data Acquisition Using Autonomous Aerial Robots,"This article presents a novel framework for acquiring visual data around 3D infrastructures, by establishing a team of fully autonomous Micro Aerial Vehicles (MAVs) with robust localization, planning and perception capabilities. The proposed aerial system reaches high level of autonomy on a large scale, while pushing to the boundaries the real life deployment of aerial robotics. In the presented approach, the MAVs deployed around the structure rely only on their onboard computer and sensory systems. The developed framework envisions a modular system, combining open research challenges in the fields of localization, path planning and mapping, with an overall capability for a fast on site deployment and a reduced execution time that can repeatably perform the mission according to the operator needs. The architecture of the established system includes: 1) a geometry-based path planner for coverage of complex structures by multiple MAVs, 2) an accurate yet flexible localization component, which provides an accurate pose estimation for the MAVs by utilizing an Ultra Wideband fused inertial estimation scheme, and 3) visual data post-processing scheme for the 3D model building. The performance of the proposed framework has been experimentally demonstrated in multiple realistic outdoor field trials, all focusing on the challenging structure of a wind turbine as the main test case. The successful experimental results, depict the merits of the proposed autonomous navigation system as the enabling technology towards aerial robotic inspectors.",TOPIC
10.1109/ACCESS.2020.3037122,Implementation of Nonlinear Adaptive U-Model Control Synthesis Using a Robot Operating System for an Unmanned Underwater Vehicle,This paper presents the development of unmanned marine robotic control modelling and control synthesis using a coupled multivariable underactuated nonlinear adaptive U-model approach. The proposed controller was developed using thru an open source robot operating system (ROS) platform. The new adaptive coupled U-model based internal model control (IMC) node was successfully developed and tested. The proposed controller demonstrated the simplicity of the control synthesis process and the implementation of the mathematical algorithm in real-time. The controller was compared with the proven existing GIRONA 500 UUV for real-time performance. The ROS environment provides fast and reliable controller design and development compared to conventional software architecture. Simulation and real-time experiment were conducted using ROS via the GIRONA 500 UUV platform and compared with a PID mission controller. A new ROS node of nonlinear adaptive U-model based IMC was developed using ROS. The results showed good control signal convergence and tracking performance between the plant or system model with the proposed method.,TOPIC
10.1109/ACCESS.2020.3047916,An Improved Acceleration Method Based on Multi-Agent System for AGVs Conflict-Free Path Planning in Automated Terminals,"Aiming at the problem that the increasing number of automated guided vehicles (AGVs) will lead to more frequent conflicts between AGVs. In this paper, a conflict-free path planning model for multi-AGV is established, aiming to minimize the blocking rate of AGVs between the quay crane and the yard crane, considering the travel speed, operation time, and conflict distance of AGVs. An architecture of AGV's system based on Multi-Agent System (MAS) is designed, the improved interactive protocol based on blackboard model is used as the communication method of AGV, the improved acceleration control method is combined with the AGV priority determination method based on time cost as the negotiation strategy of AGV, the improved Dijkstra algorithm calculates the conflict-free path of each AGV. By comparing the acceleration control method based on MAS with the speed control method based on MAS and the task priority control method, the effectiveness of this method for solving multiple AGVs conflict-free path planning in automated terminals is verified.",TOPIC
10.1109/ACCESS.2021.3056567,Two Hybrid Spectral Methods With Inertial Effect for Solving System of Nonlinear Monotone Equations With Application in Robotics,"In this work, motivated by the effect of inertial step in accelerating algorithms for solving nonlinear problems such as equilibrium problems, we propose two hybrid spectral algorithms with inertial effect for solving system of nonlinear equations with convex constraints. The search directions in these algorithms use the convex combination of the modified Barzilai and Borwein spectral parameters (IMA journal of numerical analysis, vol. 8, no. 1, pp. 141-148, 1988) and their geometric mean proposed by Dai et al. (In Numerical Analysis and Optimization, pp. 59-75, Springer, 2015). The incorporation of the inertial-step aids the proposed algorithms in producing more efficient results in comparison with three existing spectral algorithms. Under the assumption that the function under consideration is monotone and satisfies Lipschitz continuity, we prove the global convergence of the proposed algorithms. In addition, we also show the application of the proposed algorithms in motion control of two-joint planar robotic manipulator.",TOPIC
10.1109/ACCESS.2021.3069744,"RT-TelSurg: Real Time Telesurgery Using SDN, Fog, and Cloud as Infrastructures","This paper proposes a novel and efficient real time network architecture, named RT-TelSurg, for one of the most appealing tactile Internet applications, i.e., Telesurgery. In telesurgery, the patient's vital signs and status and the required robotic commands during the surgery should be received on time. Otherwise, the life of the patient or the safety of the operation is endangered. Hence, transmitted packets should meet their respective relative deadlines. Software-defined networking is a relatively new architecture for computer and telecommunications networks in which the network control plane is separated from the data plane. One way to achieve real time telesurgery is to employ cloud and fog networks using SDN as infrastructure. By using a real time cloud controller in the SDN as the core and a fog controller on the edge of the network on the master (physician) side, one may satisfy the acceptable level of the timing constraints of the telesurgery. Accordingly, based on the presented architecture, we develop the statistical performance model of our proposed approach, RT-TelSurg. This statistical queuing theory model is designed for critical and non-critical states of the network. Based on these states, network resources are allocated to telesurgery data in both modes, and a computational bottleneck is detected. RT-TelSurg is evaluated according to real time and surgery efficiency parameters. The results show that the average deadline hit ratio is 98.2% in different conditions, which is quite acceptable for telesurgery applications.",TOPIC
10.1109/ACCESS.2021.3095392,Speeding-Up Action Learning in a Social Robot With Dyna-Q+: A Bioinspired Probabilistic Model Approach,"Robotic systems that are developed for social and dynamic environments require adaptive mechanisms to successfully operate. Consequently, learning from rewards has provided meaningful results in applications involving human-robot interaction. In those cases where the robot's state space and the number of actions is extensive, dimensionality becomes intractable and this drastically slows down the learning process. This effect is specially notorious in one-step temporal difference methods because just one update is performed per robot-environment interaction. In this paper, we prove how the action-based learning of a social robot can be improved by combining classical temporal difference reinforcement learning methods, such as Q-learning or Q( λ), with a probabilistic model of the environment. This architecture, which we have called Dyna, allows the robot to simultaneously act and plan using the experience obtained during real human-robot interactions. Principally, Dyna improves classical algorithms in terms of convergence speed and stability, which strengthens the learning process. Hence, in this work we have embedded a Dyna architecture in our social robot, Mini, to endow it with the ability to autonomously maintain an optimal internal state while living in a dynamic environment.",TOPIC
10.1109/ACCESS.2021.3139080,Multi-Robot Hybrid Coverage Path Planning for 3D Reconstruction of Large Structures,"Coverage Path Planning (CPP) is an essential capability for autonomous robots operating in various critical applications such as fire fighting, and inspection. Performing autonomous coverage using a single robot system consumes time and energy. In particular, 3D large structures might contain some complex and occluded areas that shall be scanned rapidly in certain application domains. In this paper, a new Hybrid Coverage Path Planning (HCPP) approach is proposed to explore and cover unknown 3D large structures using a decentralized multi-robot system. The HCPP approach combines a guided Next Best View (NBV) approach with a developed Long Short Term Memory (LSTM) waypoint prediction approach to decrease the CPP exploration time at each iteration and simultaneously achieve high coverage. The hybrid approach is the new ML paradigm which fosters intelligence by balancing between data efficiency and generality allowing the exchange of some CPP parts with a learned model. The HCPP uses a stateful LSTM network architecture which is trained based on collected paths that cover different 3D structures to predict the next viewpoint. This architecture captures the dynamic dependencies of adjacent viewpoints in the long term sequences like the coverage paths. The HCPP switches between these methods triggered by either the number of iterations or an entropy threshold. In the decentralized multi-robot system, the proposed HCPP is embedded in each robot where each one of them shares its global 3D map ensuring robustness. The results performed in a realistic Gazebo robotic simulator confirmed the advantage of the proposed HCPP approach by achieving high coverage on different 3D unknown structures in a shorter time compared to conventional NBV.",TOPIC
10.1109/ACCESS.2022.3173647,TeMoto: A Software Framework for Adaptive and Dependable Robotic Autonomy With Dynamic Resource Management,"For widespread deployment of robots in challenging environments (fire fighting, search and rescue, planetary exploration, etc.), the software of the robot must allow for reliability and adaptability. For many existing systems, an unexpected change in mission specification, component failures, or energy conservation requires downtime for adaption (redesign of mission logic, switching sensor data processing pipeline, etc.). This is because software and hardware components for robotic applications are commonly chosen or designed based on task requirements and integrated either directly in the source code or via system configuration scripts, such as ROS launch files, leading to a fixed monolithic design. As the necessity and extent of adaptive behaviors is not always known prior to deployment, the structure of a robot’s software needs to support it by design. In this paper, we propose TeMoto, a novel architecture for adaptive autonomous robots, and a ROS-based framework of openly available software tools that implement the TeMoto architecture. TeMoto is a developer tool which combines dynamic (run-time) task and resource management, encourages modular and scalable system design and is task and platform agnostic - TeMoto provides the foundation for an adaptive robotic system. The feasibility of the TeMoto framework is qualitatively assessed via experiments on single and multi-robot setups spanning common scenarios (teleoperation, autonomous surveillance, cargo delivery, etc.). TeMoto-based systems exhibit increased fault tolerance and dynamic reconfigurability of software and hardware resources, as well as up to a 47% reduction in power consumption compared to the non TeMoto-enabled reference setup.",TOPIC
10.1109/ACCESS.2022.3216563,Hybrid Control Architecture of an Unmanned Surface Vehicle Used for Water Quality Monitoring,"The study of water quality in reservoirs, lakes, and coasts is an activity that mainly uses human-crewed marine vehicles to obtain site parameters such as temperature, conductivity, salinity, pH, and others. This task is facilitated by unmanned vehicles, which improve data quality in hazardous areas and minimize human exposure. This work presents a novel methodology based on systems engineering concepts and hybrid control architecture for a catamaran-class unmanned surface vehicle (USV) named EDSON-J, for remote water quality monitoring activities with payload instrumentation. Critical aspects of the project development are considered, such as requirements, risk management, design flexibility, logical decomposition, functional classification, verification, integration and validation, and technological plan. The applied methodology proposes the main components for the vehicle, a main computer running robotic operating system (ROS) with deliberative control architecture for high-level tasks and a secondary computer running finite state machine (FSM) with hierarchical control architecture for low-level tasks, executing control and navigation algorithms. The results are given through missions of water quality monitoring, attaching a multiparameter payload sonde. Manual and automatic mode controls are suitable for circular and zig-zag maneuvers and show better performance for the proposed platform, guaranteeing the specifications and requirements of the vehicle design and validating the proposed hybrid control architecture.",TOPIC
10.1109/ACCESS.2023.3289964,Distributed Imaging Satellite Mission Planning Based on Multi-Agent,"As the core technology in the field of imaging satellite application, imaging satellite mission planning has received more and more attention. Aiming at this problem, this paper proposes a distributed imaging satellite mission planning method (DISMPA) based on multi-agent system. Firstly, a distributed imaging satellite mission planning model with variable collaborative division of labor is constructed based on multi-agent system theory. The model defines the intelligence level of satellites in the satellite cluster and the interaction mode between satellites. Secondly, the cooperation mechanism between satellite agents is established based on blackboard model. Two negotiation strategies of worker serial activation and worker parallel activation are proposed. In order to improve the efficiency of negotiation, the targets are preassigned before negotiation. Finally, a hybrid discrete multi-verse optimization algorithm is proposed to solve the mission planning problem of worker agents in the model. Simulation experiments show that the average fitness values obtained by DISMPM using serial activation strategy and DISMPM using parallel activation strategy are up to 20% higher than those obtained by the centralized algorithm with the best solution effect in this paper, and the average negotiation times of the two DISMPM methods are both reduced by more than 80% compared with the contract network algorithm, effectively reducing the system traffic and reducing the communication burden. It is proved that DISMPA is suitable for distributed imaging satellite mission planning.",TOPIC
10.1109/ACCESS.2023.3303841,MixNet: Physics Constrained Deep Neural Motion Prediction for Autonomous Racing,"Reliably predicting the motion of contestant vehicles surrounding an autonomous racecar is crucial for effective and performant ego-motion planning. Although highly expressive, deep neural networks are black-box models, making their usage challenging in this safety-critical applications of autonomous racing. On the other hand, physics-based models provide high safety guarantees for the predicted trajectory but lack accuracy. The method presented in this paper targets this trade-off. We introduce a method to predict the trajectories of opposing racecars with deep neural networks considering physical constraints to restrict the output and to improve its feasibility. We report the method’s performance against an LSTM-based encoder-decoder architecture on data acquired from multi-agent racing simulations. The proposed method outperforms the baseline model in prediction accuracy and robustness. Still, it fulfills quality guarantees of smoothness and consistency of the predicted trajectory and prevents out-of-track predictions. Thus, a robust real-world application of the model with high prediction accuracy is proven. The presented model was deployed on the racecar of the Technical University of Munich for the Indy Autonomous Challenge 2021. The code used in this research is available as open-source software at https://www.github.com/TUMFTM/MixNet.",TOPIC
10.1109/ACCESS.2023.3308619,Toward Autonomous Robotic Minimally Invasive Surgery: A Hybrid Framework Combining Task-Motion Planning and Dynamic Behavior Trees,"The growing need for high levels of autonomy in Autonomous Robotic Surgery Systems (ARSS) calls for innovative approaches to reduce surgeons’ cognitive load, optimize hospital workflows, and ensure efficient task-level reasoning and adaptation during execution. This paper presents a novel hybrid framework that synergistically combines Task-Motion Planning and Dynamic Behavior Trees for ARSS in Minimally Invasive Surgery. Our approach is designed to address the challenges of coordinating multiple surgical tools within a small workspace, thereby making complex surgical tasks like multi-throw suturing feasible and efficient. Through an extensive evaluation in simulation across diverse initial conditions and noise scenarios, the proposed method demonstrates improved success rates, reduced execution times, and fewer regrasps compared to standalone approaches. Furthermore, it showcases robustness under increased noise conditions. By applying our framework to a complex multi-throw suturing task, we illustrate its capability to seamlessly handle comprehensive suturing tasks, including needle picking, insertion, extraction, and the handover of the needle between Patient Side Manipulators. The results suggest that our hybrid approach not only enhances ARSS autonomy but also adapts effectively to unexpected environmental changes, laying the groundwork for its potential applicability in real-world surgical robotics.",TOPIC
10.1109/ACCESS.2023.3321276,A Self-Supervised Learning Solution With Momentum-Based Siamese Network for Robotic Visual Task,"How a robot induces causality, abstracts information from states, and plans for tasks are major challenges in artificial intelligence. However, habitually used deep reinforcement learning is not a cure-all solution. This study proposes MoSN, a momentum-based Siamese network for a robotic visual task. Instead of trying to learn representations that abstract all the variation factors of the environment as in most prior studies, MoSN labels its observations as their causes so that it can learn representations of visual states in a self-supervised manner. These representations are then used to enhance perceptual and cognitive abilities and to perform our robotic visual task when a robot takes over a new environment. In particular, this study proposes a momentum-based Siamese network with augmentation methods and a hybrid explicit contrastive loss to improve the combinatorial generalization capability of our model. We validate MoSN in real-world environments equipped with lights and light switches and attempt to derive the cause-and-effect relationship between switch states and visual states. MoSN is compared with previous methods in both static and dynamic environments with both fixed and dynamic viewing angles. MoSN outperforms previous methods in most cases.",TOPIC
10.1109/ACCESS.2023.3323220,Graph Learning in Robotics: A Survey,"Deep neural networks for graphs have emerged as a powerful tool for learning on complex non-euclidean data, which is becoming increasingly common for a variety of different applications. Yet, although their potential has been widely recognised in the machine learning community, graph learning is largely unexplored for downstream tasks such as robotics applications. To fully unlock their potential, hence, we propose a review of graph neural architectures from a robotics perspective. The paper covers the fundamentals of graph-based models, including their architecture, training procedures, and applications. It also discusses recent advancements and challenges that arise in applied settings, related for example to the integration of perception, decision-making, and control. Finally, the paper provides an extensive review of various robotic applications that benefit from learning on graph structures, such as bodies and contacts modelling, robotic manipulation, action recognition, fleet motion planning, and many more. This survey aims to provide readers with a thorough understanding of the capabilities and limitations of graph neural architectures in robotics, and to highlight potential avenues for future research.",TOPIC
