DOI,Document title,Abstract
10.1145/3712003,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead","Integrating Large Language Models (LLMs) into autonomous agents marks a significant shift in the research landscape by offering cognitive abilities that are competitive with human planning and reasoning. This article explores the transformative potential of integrating Large Language Models into Multi-Agent (LMA) systems for addressing complex challenges in software engineering (SE). By leveraging the collaborative and specialized abilities of multiple agents, LMA systems enable autonomous problem-solving, improve robustness, and provide scalable solutions for managing the complexity of real-world software projects. In this article, we conduct a systematic review of recent primary studies to map the current landscape of LMA applications across various stages of the software development lifecycle (SDLC). To illustrate current capabilities and limitations, we perform two case studies to demonstrate the effectiveness of state-of-the-art LMA frameworks. Additionally, we identify critical research gaps and propose a comprehensive research agenda focused on enhancing individual agent capabilities and optimizing agent synergy. Our work outlines a forward-looking vision for developing fully autonomous, scalable, and trustworthy LMA systems, laying the foundation for the evolution of Software Engineering 2.0."
10.1145/3744333.3747807,Enhancing Passenger Trust Toward Cooperative Autonomous Vehicles Using Simulated Augmented Reality Displays,"Adoption of Fully Autonomous Vehicles (FAVs) depends on trust, which is defined as confidence in a vehicle’s dependability, safety, and predictability. In cooperative driving scenarios, trust must exceed ego vehicles to include other autonomous vehicles and their coordination. This is challenged by unexpected multi-agent interactions, diminishing human control, and limited system transparency. We hypothesize that enhancing transparency by providing information about ego vehicle, other cooperative vehicles, and road conditions can foster trust. This is achieved by visualizing vehicle-to-everything (V2X) information via augmented reality (AR) interfaces. To test this in a safe environment, we conducted a within-subjects experiment in a Virtual Reality (VR) driving simulator with AR overlays. Participants experienced three interface concepts: (A) no transparency, (B) system-level transparency (ego vehicle intentions only), and (C) environment-level transparency (cooperation intentions, planned paths, and infrastructure). Results show that environment-level transparency, despite the higher cognitive workload, enhanced trust in both ego and cooperating FAVs."
10.1145/3768292.3770383,AuditAgent: Expert-Guided Multi-Agent Reasoning for Cross-Document Fraudulent Evidence Discovery,"Financial fraud detection in real-world scenarios presents significant challenges due to the subtlety and dispersion of evidence across complex, multi-year financial disclosures. In this work, we introduce a novel multi-agent reasoning framework AuditAgent, enhanced with auditing domain expertise, for fine-grained evidence chain localization in financial fraud cases. Leveraging an expert-annotated dataset constructed from enforcement documents and financial reports released by the China Securities Regulatory Commission, our approach integrates subject-level risk priors, a hybrid retrieval strategy, and specialized agent modules to efficiently identify and aggregate cross-report evidence. Extensive experiments demonstrate that our method substantially outperforms General-Purpose Agent paradigm in both recall and interpretability, establishing a new benchmark for automated, transparent financial forensics. Our results highlight the value of domain-specific reasoning and dataset construction for advancing robust financial fraud detection in practical, real-world regulatory applications."
10.5555/3635637.3662921,NovelGym: A Flexible Ecosystem for Hybrid Planning and Learning Agents Designed for Open Worlds,"As AI agents leave the lab and venture into the real world as autonomous vehicles, delivery robots, and cooking robots, it is increasingly necessary to design and comprehensively evaluate algorithms that tackle the ""open-world''. To this end, we introduce NovelGym, a flexible and adaptable ecosystem designed to simulate gridworld environments, serving as a robust platform for benchmarking reinforcement learning (RL) and hybrid planning and learning agents in open-world contexts. The modular architecture of NovelGym facilitates rapid creation and modification of task environments, including multi-agent scenarios, with multiple environment transformations, thus providing a dynamic testbed for researchers to develop open-world AI agents."
10.1145/3715709,Thinking Fast and Slow in Human and Machine Intelligence,"When working to build machines that have a form of intelligence, it is natural to be inspired by human intelligence. Of course, humans are very different from machines, in their embodiment and myriad other ways. Humans exploit their bodies to experience the world, create an internal model of it, and use this model to reason, learn, and make contextual and informed decisions. Machines lack the same embodiment, but often have access to both more memory and more computing power. Despite these crucial disanalogies, it is still useful to leverage our knowledge of how the human mind reasons and makes decisions to design and build machines that demonstrate behaviors similar to that of a human. In this article, we present a novel AI architecture, Slow and Fast AI (SOFAI), that is inspired by the “thinking fast and slow” cognitive theory of human decision making. SOFAI is a multi-agent architecture that employs both “fast” and “slow” solvers underneath a metacognitive agent that is able to both choose among a set of solvers as well as reflect on and learn from past experience. Experimental results on the behavior of two instances of the SOFAI architecture show that, compared to using just one of the two decision modalities, SOFAI is markedly better in terms of decision quality, resource consumption, and efficiency.Modeling AI systems on dual-process theories of human cognition can improve their ability to flexibly handle diverse tasks."
10.1145/3768292.3770387,"Large Language Model Agents for Investment Management: Foundations, Benchmarks, and Research Frontiers","Recent advances in Large Language Models (LLMs) have triggered a new wave of intelligent financial agents capable of complex reasoning, tool use, and autonomous decision-making. This survey presents a comprehensive review of LLM-based agents in the context of investment and trading, focusing on applications such as portfolio optimization, risk management, information retrieval, and automated strategy generation. We systematically categorize the literature by use case and architectural innovations including multi-agent collaborations, reflection mechanisms, and tool-augmented pipelines. Additionally, we review emerging evaluation frameworks and benchmark datasets tailored to finance-specific agent tasks. The survey identifies current trends, technical limitations, and open challenges related to robustness, explainability, and real-world deployment. We conclude with emerging directions for building more capable, adaptive, and trustworthy financial AI agents aligned with the demands of modern investment ecosystems."
10.5555/3635637.3663063,Attention-based Priority Learning for Limited Time Multi-Agent Path Finding,"Solving large-scale Multi-Agent Path Finding (MAPF) within a limited time remains an open challenge, despite its importance for many robotic applications. Recent learning-based methods scale better than conventional ones, but remain suboptimal and often exhibit low success rates within a limited time on large-scale instances. These limitations often stem from their black-box nature. In this study, we propose a hybrid approach that incorporates prioritized planning with learning-based methods to explicitly address these challenges. We formulate prioritized planning as a Markov Decision Process and introduce a reinforcement learning-based prioritized planning paradigm. In doing so, we develop a novel Synthetic Score-based Attention Network (S2AN) to learn conflict/blocking relationships among agents, and deliver blocking-free priorities. By integrating priority mechanisms and leveraging a new attention-based neural network for enhanced multi-agent cooperative strategies, our method enhances solution completeness while trading off scalability and maintains linear time complexity, thus offering a robust avenue for large-scale MAPF tasks. Comparisons demonstrate its superiority over current learning-based methods in terms of solution quality, completeness, and reachability within limited time constraints, especially in large-scale scenarios. Moreover, an extensive set of numerical results reveals superior completeness compared to restricted-time Priority-Based Search (PBS) and Priority Inheritance with Backtracking (PIBT) in medium to large-scale obstacle-dense scenarios."
10.1145/3774946,MemIndex: Agentic Event-based Distributed Memory Management for Multi-agent Systems,"Interactive applications are latency-sensitive systems that enable dynamic responses to user inputs in domains such as robotics, industrial automation, and autonomous control. These applications require efficient application protocols for communication, with the pub/sub model being one of the most promising approaches. However, existing pub/sub systems are architecturally constrained, particularly by limited memory capacity and inefficiencies in dynamic environments. Addressing these challenges requires effective distributed memory management, yet this aspect has received limited attention in existing research. This paper addresses the gap by proposing MemIndex, an adaptive and autonomous distributed memory-management framework with an intent-indexed bipartite graph architecture. It is designed for an LM-based multi-agent pub/sub systems, enabling agents to autonomously negotiate memory operations in real time through dynamic index spaces for efficient reasoning. We evaluate our proposed MemIndex using diverse models against two baselines. Experimental results show MemIndex outperforms both baselines across storage, retrieval, update, and deletion operations, achieving average reductions of about 34\% and 56\% in elapsed time, 57\% and 75\% in CPU utilization, 23\% and 76\% in memory usage. Scalability tests further demonstrate that MemIndex maintains low end-to-end delay as submissions and agents grow, confirming that its negotiation-driven offloading enables efficient distributed memory management in interactive applications."
10.5555/3709347.3744035,The Next Level of Long-Term Agent Autonomy -- Proactively Acquiring Knowledge and Abilities,"For an artificial agent operating long-term under real-world conditions it is not enough to be able to act on orders given by the human. Even being able to act proactively (anticipatory, self-initiated) does not suffice. The reason roots in the unrealistic assumption that the proactive agent from the start and always knows everything it needs to know and has all the abilities it requires. We argue that the agent has to be able to proactively learn new knowledge and abilities according to how the dynamic environment evolves. We identify challenges and directions towards proactive learning. Our focus is on formal methods which lend themselves to doing the necessary reasoning but also give suggestions how these might be integrated with machine learning. The ideas envisioned in this paper can advance (M)AS (Multi-Agent Systems) research and have the potential to enhance collaborations of hybrid human-AI systems."
10.1145/3731715.3733393,MMCNav: MLLM-empowered Multi-agent Collaboration for Outdoor Visual Language Navigation,"Navigating through real-world environments, such as urban street views, poses a significant challenge for agents searching for a clear path to the destination based on environmental information. Although existing methods leveraging large language models (LLMs) have demonstrated remarkable achievements, they often struggle to tackle scenarios that require complex visual understanding. Inspired by the classical perception-cognition-action feedback loop in cognitive neuroscience, we present a multimodal large language models (MLLMs) empowered multi-agent collaborative outdoor navigation system that significantly enhances the capability to accomplish outdoor navigation tasks by extending a single agent into multiple cooperative agents. Each agent assumes a specific role in this system and collaborates to perform their respective tasks effectively. The system begins with agents interpreting human-written navigation instructions into detailed plans. At each step of the plan, agents analyze and caption the multimodal scenarios to improve their understanding of the environment. Then agents determine the search direction based on observational captions and historical decisions. At the end of the navigation, agents adopt the map of the search process to perform a two-stage reflection for error correction. Comprehensive experiments and analyses conducted on two outdoor navigation datasets demonstrate the superiority of our approach, outperforming previous methods in terms of performance. The repository of this project is available at https://github.com/zzhaesc/MMCNav."
10.5555/3635637.3663023,Design Patterns for Explainable Agents (XAg),"The ability to explain the behaviour of the AI systems is a key aspect of building trust, especially for autonomous agent systems - how does one trust an agent whose behaviour can not be explained? In this work, we advocate the use of design patterns for developing explainable-by-design agents (XAg), to ensure explainability is an integral feature of agent systems rather than an ""add-on"" feature. We present TriQPAN (Trigger, Query, Process, Action and Notify), a design pattern for XAg. TriQPAN can be used to explain behaviours of any agent architecture and we show how this can be done to explain decisions such as why the agent chose to pursue a particular goal, why or why didn't the agent choose a particular plan to achieve a goal, and so on. We term these queries as direct queries. Our framework also supports temporal correlation queries such as asking a search and rescue drone, ""which locations did you visit and why?"". We implemented TriQPAN in the SARL agent language, built-in to the goal reasoning engine, affording developers XAg with minimal overhead. The implementation will be made available for public use. We describe that implementation and apply it to two case studies illustrating the explanations produced, in practice."
10.5555/3709347.3743808,"Planning, Scheduling, and Execution on the Moon: The CADRE Technology Demonstration Mission","NASA's Cooperative Autonomous Distributed Robotic Exploration (CADRE) mission, slated for flight to the Moon's Reiner Gamma region in 2025/2026, is designed to demonstrate multi-agent autonomous exploration of the Lunar surface and sub-surface. A team of three robots and a base station will autonomously explore a region near the lander, collecting the data required for 3D reconstruction of the surface with no human input; and then autonomously perform distributed sensing with multi-static ground penetrating radars (GPR), driving in formation while performing coordinated radar soundings to create a map of the subsurface. At the core of CADRE's software architecture is a novel autonomous, distributed planning, scheduling, and execution (PS&amp;E) system. The system coordinates the robots' activities, planning and executing tasks that require multiple robots' participation while ensuring that each individual robot's thermal and power resources stay within prescribed bounds, and respecting ground-prescribed sleep-wake cycles. The system uses a centralized-planning, distributed-execution paradigm, and a leader election mechanism ensures robustness to failures of individual agents. In this paper, we describe the architecture of CADRE's PS&amp;E system; discuss its design rationale; and report on verification and validation (V&amp;V) testing of the system on CADRE's hardware in preparation for deployment on the Moon."
10.1145/3766882.3767169,AgentSight: System-Level Observability for AI Agents Using eBPF,"Modern software infrastructure increasingly relies on LLM agents for development and maintenance, such as Claude Code and Gemini-cli. However, these AI agents differ fundamentally from traditional deterministic software, posing a significant challenge to conventional monitoring and debugging. This creates a critical semantic gap: existing tools observe either an agent's high-level intent (via LLM prompts) or its low-level actions (e.g., system calls), but cannot correlate these two views. This blindness makes it difficult to distinguish between benign operations, malicious attacks, and costly failures. We introduce AgentSight, an AgentOps observability framework that bridges this semantic gap using a hybrid approach. Our approach, boundary tracing, monitors agents from outside their application code at stable system interfaces using eBPF. AgentSight intercepts TLS-encrypted LLM traffic to extract semantic intent, monitors kernel events to observe system-wide effects, and causally correlates these two streams across process boundaries using a real-time engine and secondary LLM analysis. This instrumentation-free technique is framework-agnostic, resilient to rapid API changes, and incurs less than 3\% performance overhead. Our evaluation shows AgentSight detects prompt injection attacks, identifies resource-wasting reasoning loops, and reveals hidden coordination bottlenecks in multi-agent systems. AgentSight is released as an open-source project at https://github.com/eunomia-bpf/agentsight."
10.1145/3708657.3708691,Heterogeneous Resource Allocation in LEO Networks: A Federated Multi-Agent Deep Reinforcement Learning Method,"With the continuous development of satellite technology, satellite edge computing is garnering unprecedented attention as a crucial component of 6G. However, the heterogeneous network architecture and resource distribution of future 6G networks present huge challenges for effective and reasonable resource allocation for diverse task requirements. This paper proposes a heterogeneous resource allocation strategy to address these needs in future LEO networks. By employing a multi-agent deep reinforcement learning method based on federated learning, the proposed strategy can achieve self-learning, self-updating and be adaptive to different resource requirements of various tasks. Simulation results demonstrate that the proposed method exhibits superior performance in task completion and overall energy consumption across different resource environments compared to benchmark algorithms."
10.1145/3746027.3755425,From Model Diagram to Code: A Benchmark Dataset and Multi-Agent Framework,"Model Diagram-to-Code Generation aims to translate model diagrams from research papers into implementation code that reconstructs the model's architecture. This task plays a crucial role in accelerating scientific workflows and enhancing the efficiency of industrial model deployment. While recent studies have explored various Image-to-Code Generation tasks using Multimodal Large Language Models (MLLMs), these efforts have primarily focused on reconstructing the visual appearance depicted in input images, leaving this task largely underexplored. The complex structural elements and implicit relationships in model diagrams present greater challenges for MLLMs, particularly in terms of visual reasoning and semantic interpretation. To support this task, we introduce MDCDataset, a dataset designed to evaluate the ability of MLLMs to generate code from model diagrams. It comprises 1,008 instances spanning 16 research domains, each with a model diagram, structured textual content, and the ground-truth code implementation. Furthermore, to address the inherent challenges of this task, we propose MDCAgent, a collaborative multi-agent framework composed of Parsing, Generation, and Check Agents. These agents work in coordination to analyze, extract, and verify complex elements and implicit relationships within model diagrams, thereby enhancing the visual architecture-aware reasoning capabilities of MLLMs. Our extensive experiments confirm the effectiveness of the framework."
10.1145/3746027.3754761,HM-RAG: Hierarchical Multi-Agent Multimodal Retrieval Augmented Generation,"While Retrieval-Augmented Generation (RAG) augments Large Language Models (LLMs) with external knowledge, conventional single-agent RAG remains fundamentally limited in resolving complex queries demanding coordinated reasoning across heterogeneous data ecosystems. We present HM-RAG, a novel Hierarchical Multi-agent Multimodal RAG framework that pioneers collaborative intelligence for dynamic knowledge synthesis across structured, unstructured, and graph-based data. The framework is composed of a three-tiered architecture with specialized agents: a Decomposition Agent that dissects complex queries into contextually coherent sub-tasks via semantic-aware query rewriting and schema-guided context augmentation; Multi-source Retrieval Agents that carry out parallel, modality-specific retrieval using plug-and-play modules designed for vector, graph, and web-based databases; and a Decision Agent that uses consistency voting to integrate multi-source answers and resolve discrepancies in retrieval results through Expert Model Refinement. This architecture attains comprehensive query understanding by combining textual, graph-relational, and web-derived evidence, resulting in a remarkable 12.95\% improvement in answer accuracy and a 3.56\% boost in question classification accuracy over baseline RAG systems on the ScienceQA and CrisisMMD benchmarks. Notably, HM-RAG establishes state-of-the-art results in zero-shot settings on both datasets. Its modular architecture ensures seamless integration of new data modalities while maintaining strict data governance, marking a significant advancement in addressing the critical challenges of multimodal reasoning and knowledge synthesis in RAG systems."
10.1145/3607720.3607796,"Tweets similarity classification based on Machine Learning Algorithms, TF-IDF and the Dynamic Case Based Reasoning","The research on the field of Twitter sentiment analysis, which aims to extract users’ sentiments through their public opinion about a given topic, has been increased and grown rapidly across a broad range of disciplines in the last decade. In this article, we propose a hybrid approach for Tweets similarity classification Based on Dynamic Case Based Reasoning approach, machine learning algorithms and Multi-Agent System. Our approach proposes a multi-agent adaptive system for Tweets similarity classification. It combines the Dynamic Case-Based Reasoning approach with the scientific measurement of keyword weight (Term Frequency- Inverse Document Frequency, TF-IDF). It consists of gathering and pre-processing tweets about a given topic and use a feature extraction to extract useful features. Machine Learning algorithms are then used for similarity content-based classification. Our approach is general and can be used to follow users’ tweets traces to predict their sentiments and provide them with an individualized content. In this study, Covid-19 tweets have been taken as an example."
10.1145/3676536.3698389,Thinking and Moving: An Efficient Computing Approach for Integrated Task and Motion Planning in Cooperative Embodied AI Systems,"Cooperative embodied AI systems, where multiple agents collaborate to accomplish complex, long-horizon tasks, show significant promise for real-world applications. These systems integrate perception, cognition, and action through integrated task and motion planning (TAMP), leveraging the advanced reasoning and communication capabilities of large language models (LLMs). However, their efficiency is often hindered by challenges such as high computational latency and redundant communication, largely due to the reliance on LLMs for sequential planning decisions.In this paper, we aim to identify the inherent characteristics and optimization opportunities in cooperative embodied AI systems. We first present a cognitive-inspired modular framework encompassing perception, memory, communication, planning, and execution. We then conduct a detailed profiling analysis of two state-of-the-art cooperative embodied systems, revealing the significance of each module and identifying critical bottlenecks such as redundant message pre-generation and excessive LLM usage in decision-making processes. Based on these insights, we propose several model- and system-level optimizations, including a planning-first communication strategy, selective multi-agent communication, and planning-guided multi-step execution. Evaluated across long-horizon cooperative tasks, these optimizations reduce the frequency of LLM inference runs, achieving an average 3.93\texttimes{} speedup in end-to-end task execution. Finally, we discuss the challenges and potential directions for embodied AI computing, to enhance system flexibility, efficiency, and scalability."
10.1145/3716553.3750771,A Multifaceted Multi-Agent Framework for Zero-Shot Emotion Analysis and Recognition of Symbolic Music,"This paper presents the first attempt at zero-shot music emotion recognition (MER) to map musical pieces, represented in symbolic formats (e.g., ABC notation), onto the valence-arousal space. Conventional MER approaches typically train an end-to-end deep neural network (DNN). However, the performance of such supervised methods is limited due to the multifaceted and ambiguous nature of music emotions, compounded by the scarcity of MER datasets. To address this, we leverage knowledge transfer from large language models (LLMs) pre-trained on vast text and symbolic data. We hypothesize that LLMs possess capabilities in low-level music description and high-level emotion reasoning (not necessarily in a musical context). Accordingly, we propose a multi-agent framework that performs zero-shot MER by associating objective musical attributes (harmony, melody, rhythm, and structure) with subjective attributes (valence and arousal). Our system employs a hierarchical architecture comprising (i) musical element descriptors, (ii) chain-of-thought emotion analysts, and (iii) comprehensive predictors. Knowledge injection and zero-shot prompting are utilized to mitigate inherent model biases. Evaluations on the EMOPIA dataset demonstrate that our system, built on the Gemini-2.0-Flash backbone, significantly outperforms baseline LLM models, including ultra-large models and mixture-of-experts (MoE) systems, and performs comparably to fully supervised or fine-tuned models."
10.5555/3463952.3464093,Active Perception within BDI Agents Reasoning Cycle,"In multi-agent systems the main process responsible for obtaining information about the environment is perception, generally this process is performed passively regardless the agent's intentional state. However, especially when inserted in the real world, a frequent problem is that agents have partial perception of the environment, failing to perceive some relevant information. To circumvent this problem, a solution is to actively take actions to perceive what is of interest to the agent, for example, in a computer vision system, the camera can be repositioned to have a better view of an object. This work aims to develop an active perception model integrated with the reasoning cycle of BDI agents. Experiments are performed using BDI agents with ROS to command unmanned aerial vehicles to analyze the benefits and impacts of using cognitive agents with active perception to program robot intelligence."
