DOI,Source title,Abstract,REASON
10.1007/11550617_8,Lecture Notes in Computer Science,"In this paper, we propose a new integration approach to simulate an Autonomous Virtual Agent's cognitive learning of a task for interactive Virtual Environment applications. Our research focuses on the behavioural animation of virtual humans capable of acting independently. Our contribution is important because we present a solution for fast learning with evolution. We propose the concept of a Learning Unit Architecture that functions as a control unit of the Autonomous Virtual Agent's brain. Although our technique has proved to be effective in our case study, there is no guarantee that it will work for every imaginable Autonomous Virtual Agent and Virtual Environment. The results are illustrated in a domain that requires effective coordination of behaviours, such as driving a car inside a virtual city. © Springer-Verlag Berlin Heidelberg 2005. © 2008 Elsevier B.V., All rights reserved.",
10.1007/11590316_28,Lecture Notes in Computer Science,"The work proposes a hierarchical architecture for learning from dynamic scenes at various levels of knowledge abstraction. The raw visual information is processed at different stages to generate hybrid symbolic/sub-symbolic descriptions of the scene, agents and events. The background is incrementally learned at the lowest layer, which is used further in the mid-level for multi-agent tracking with symbolic reasoning. The agent/event discovery is performed at the next higher layer by processing the agent features, status history and trajectory. Unlike existing vision systems, the proposed algorithm does not assume any prior information and aims at learning the scene/agent/event models from the acquired images. This makes it a versatile vision system capable of performing in a wide variety of environments. © Springer-Verlag Berlin Heidelberg 2005. © 2008 Elsevier B.V., All rights reserved.",
10.1007/11758532_92,Lecture Notes in Computer Science,"In this paper symbolic, supervised learning is used in a multiagent system for resource management. Environment is a Fish Bank game, where agents manage fishing companies. Rule induction is applied to generate ship allocation and cooperation rules. In this article system architecture and learning process are described and experimental results comparing performance of several types of agents are presented. The results obtained confirm that applying a supervised learning algorithm in a multi-agent system may improve resource management. © Springer-Verlag Berlin Heidelberg 2006. © 2020 Elsevier B.V., All rights reserved.",
10.1007/11767138_4,Lecture Notes in Computer Science,"The quest for designing secure and trusted software has led to refined Software Engineering methodologies that rely on tools to support the design process. Automated reasoning mechanisms for requirements and software verification are by now a well-accepted part of the design process, and model driven architectures support the automation of the refinement process. We claim that we can further push the envelope towards the automatic exploration and selection among design alternatives and show that this is concretely possible for Secure Tropos, a requirements engineering methodology that addresses security and trust concerns. In Secure Tropos, a design consists of a network of actors (agents, positions or roles) with delegation/permission dependencies among them. Accordingly, the generation of design alternatives can be accomplished by a planner which is given as input a set of actors and goals and generates alternative multiagent plans to fulfill all given goals. We validate our claim with a case study using a state-of-the-art planner. © Springer-Verlag Berlin Heidelberg 2006. © 2015 Elsevier B.V., All rights reserved.",
10.1007/11874850_10,Lecture Notes in Computer Science,"This paper presents a deliberative architecture based on the concept of CBP-BDI agent. A CBP-BDI agent is a BDI agent that incorporates a CBP reasoning engine. The work here presented focuses in the development of a multiagent system that has been constructed for the management of some aspects of a shopping mall, specially the interaction with clients, so the aim is to get the portability of a CBP-BDI agent to mobile devices. The system has been tested and this paper presents the results obtained. © Springer-Verlag Berlin Heidelberg 2006. © 2020 Elsevier B.V., All rights reserved.",
10.1007/11881216_34,Lecture Notes in Computer Science,"This paper presents an architecture that makes it possible to construct dynamic systems capable of growing in dimension and adapting its knowledge to environmental changes. An architecture must define the components of the system (agents in this case), as well as the way in which those components communicate and interact with each other in order to achieve the system's goals. The work presented here focuses on the development of an agent-based architecture, based on the use of deliberative agents, that incorporate case based reasoning. The proposed architecture requires an analysis and design methodology that facilitates the building of distributed systems using this technology. The proposal combines elements of existing methodologies such as Gaia and AUML in order to take advantage of their characteristics. Moreover the architecture takes into account the possibility of modelling problems in dynamic environments and therefore the use of autonomous models that evolve over time. To solve this problem the architecture incorporates CBR-agents whose aim is to acquire knowledge and adapt themselves to environmental changes. The architecture has been applied to model for evaluating the interaction between the atmosphere and the ocean, as well as for the planification and optimization of sea routes for vessels. The system has been tested successfully, and the results obtained are presented in this paper. © Springer-Verlag Berlin Heidelberg 2006. © 2020 Elsevier B.V., All rights reserved.",
10.1007/3-540-45023-8_53,Lecture Notes in Computer Science,"We present an agent-based Producer/Consumer scenario, that is the key element of manufacturing systems and therefore of utmost importance. We call it a MSWS-system, which is made up of a series of machines, shuttles, a warehouse and again shuttles. We applied a hybrid approach, i. e. which is a combination of a completely centralized and a totally decentralized approach. A controller supervises two MSWS-Systems and intervenes only in exceptional cases. On account of an increasing significance of the human factor in manufacturing systems, each machine operator is endowed with a user profile. © 2020 Elsevier B.V., All rights reserved.",
10.1007/3-540-45068-8_27,Lecture Notes in Computer Science,"In this paper we propose to include two up-to-date separate concepts, namely social computing and usability metrics, in intelligent interaction agents to enhance a user-centred, adaptive human-computer interaction (HCI) on the Web. Social computing refers to the application of sociological understanding to the design of interactive systems. Usability metrics are software quality metrics with a long history of successful application in software engineering. We introduce preference metrics, which quantify the subjective evaluations and preferences of users, and performance metrics, which measure the actual use of working software, as suggested parameters that enable user interface adaptation. From all terms, a new user-centred and adaptive interaction multi-agent model and architecture is proposed in e-learning/e-teaching on the Web. © Springer-Verlag Berlin Heidelberg 2003. © 2020 Elsevier B.V., All rights reserved.",
10.1007/3-540-45656-2_34,Lecture Notes in Computer Science,"The Belief, Desire, Intention (BDI) architecture is increasingly being used in a wide range of complex applications for agents. Many theories and models exist which support this architecture and the recent version is that of Capability being added as an additional construct. In all these models the concept of action is seen in an endogenous manner. We argue that the Result of an action performed by an agent is extremely important when dealing with composite actions and hence the need for an explicit representation of them. The Capability factor is supported using a RES construct and it is shown how the components of a composite action is supported using these two. Further, we introduce an OPP (opportunity) operator which in alliance with Result and Capability provides better semantics for practical reasoning in BDI. © 2020 Elsevier B.V., All rights reserved.",
10.1007/3-540-45680-5_1,Lecture Notes in Computer Science,"We present a reactive agent architecture which incorporates decision-theoretic notions to drive the deliberation and meta-deliberation process, and illustrate how this architecture can be exploited to model an agent who reacts to contextually instantiated norms by monitoring for norm instantiation and replanning its current intentions. © 2020 Elsevier B.V., All rights reserved.",
10.1007/3-540-46043-8_37,Lecture Notes in Computer Science,"Multi-agent transportation simulations are rule-based. The fact that such simulations do not vectorize means that the recent move to distributed computing architectures results in an explosion of computing capabilities of multi-agent simulations. This paper describes the general modules which are necessary for transportation planning simulations, reports the status of an implementation of such a simulation for all of Switzerland, and gives computational performance numbers. © 2002 Springer-Verlag Berlin Heidelberg. © 2020 Elsevier B.V., All rights reserved.",
10.1007/3-540-46148-5_19,Lecture Notes in Computer Science,"We present an algorithm for replanning in a reactive agent architecture which incorporates decision-theoretic notions to drive the planning and meta-deliberation process. The deliberation component relies on a refinement planner which produces plans with optimal expected utility. The replanning algorithm we propose exploits the planner's ability to provide an approximate evaluation of partial plans: it starts from a fully refined plan and makes it more partial until it finds a more partial plan which subsumes more promising refinements; at that point, the planning process is restarted from the current partial plan. © 2002 Springer-Verlag Berlin Heidelberg. © 2020 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-03098-8_1,Lecture Notes in Computer Science,"To be realistic, evacuation simulations have to consider several aspects of the human psychology that affect their decision-making process. Among them we find social relationships and emotions like fear. The former has been proven to have a great influence on the outcomes of simulations as they modify the behaviour of agents to make them escape in groups. This phenomenon strongly affects the efficiency of the evacuation. The latter impacts the ways the people will try to escape, leading to adaptation and unplanned behaviour. This paper presents an evacuation model that includes cognition with a BDI architecture to represent the way agents do complex reasoning, social relationships and a modelling of fear. The model is applied to simulate the fire of the Rhode Island Station Nightclub in 2003. We shows that after calibration, the model enables to reproduce in a credible way the real event. © 2018 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-12988-0_2,Communications in Computer and Information Science,"The spread of autonomous systems into safety-critical areas has increased the demand for their formal verification, not only due to stronger certification requirements but also to public uncertainty over these new technologies. However, the complex nature of such systems, for example, the intricate combination of discrete and continuous aspects, ensures that whole system verification is often infeasible. This motivates the need for novel analysis approaches that modularise the problem, allowing us to restrict our analysis to one particular aspect of the system while abstracting away from others. For instance, while verifying the real-time properties of an autonomous system we might hide the details of the internal decision-making components. In this paper we describe verification of a range of properties across distinct dimensions on a practical hybrid agent architecture. This allows us to verify the autonomous decision-making, real-time aspects, and spatial aspects of an autonomous vehicle platooning system. This modular approach also illustrates how both algorithmic and deductive verification techniques can be applied for the analysis of different system subcomponents. © 2023 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-20467-9_14,Advances in Intelligent Systems and Computing,"A novel application is presented in this paper. Wastewater treatment plants need to sample water to follow the cleaned process continuously. This task is very tedious for laboratory workers and, mainly, can be done in reduced areas of the large basins that form the whole plant, specifically only in the edges of those basins. The new proposal is to enlarge the sampling area and reduce the load for workers. A new unmanned aerial vehicle has been designed together with a novel tool to take water samples. Moreover, a new architecture for the mission plan is presented in form of multi-agents. Experiments have been done in order to test the feasibility of the proposal. © 2019 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-25693-7_10,Lecture Notes in Computer Science,"Identifying and resolving conflicts of interests is a key challenge when designing autonomous agents. For example, such conflicts often occur when complex information systems interact persuasively with humans and are in the future likely to arise in non-human agent-to-agent interaction. We introduce a theoretical framework for an empathic autonomous agent that proactively identifies potential conflicts of interests in interactions with other agents (and humans) by considering their utility functions and comparing them with its own preferences using a system of shared values to find a solution all agents consider acceptable. To illustrate how empathic autonomous agents work, we provide running examples and a simple prototype implementation in a general-purpose programing language. To give a high-level overview of our work, we propose a reasoning-loop architecture for our empathic agent. © 2019 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-29908-8_6,Lecture Notes in Computer Science,"The paper focuses on two pivotal cognitive functions of both natural and AI agents, namely classification and identification. Inspired from the theory of teleosemantics, itself based on neuroscientific results, we show that these two functions are complementary and rely on distinct forms of knowledge representation. We provide a new perspective on well-known AI techniques by categorising them as either classificational or identificational. Our proposed Teleo-KR architecture provides a high-level framework for combining the two functions within a single AI system. As validation and demonstration on a concrete application, we provide experiments on the large-scale reuse of classificational (ontological) knowledge for the purposes of learning-based schema identification. © 2024 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-32251-9_29,Lecture Notes in Computer Science,"The detection of anatomical landmarks is a vital step for medical image analysis and applications for diagnosis, interpretation and guidance. Manual annotation of landmarks is a tedious process that requires domain-specific expertise and introduces inter-observer variability. This paper proposes a new detection approach for multiple landmarks based on multi-agent reinforcement learning. Our hypothesis is that the position of all anatomical landmarks is interdependent and non-random within the human anatomy, thus finding one landmark can help to deduce the location of others. Using a Deep Q-Network (DQN) architecture we construct an environment and agent with implicit inter-communication such that we can accommodate K agents acting and learning simultaneously, while they attempt to detect K different landmarks. During training the agents collaborate by sharing their accumulated knowledge for a collective gain. We compare our approach with state-of-the-art architectures and achieve significantly better accuracy by reducing the detection error by 50%, while requiring fewer computational resources and time to train compared to the naïve approach of training K agents separately. Code and visualizations available: https://github.com/thanosvlo/MARL-for-Anatomical-Landmark-Detection. © 2022 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-33792-6_19,Lecture Notes in Computer Science,"Computational agents based upon the belief-desire-intention (BDI) architecture generally use reactive rules to trigger the execution of plans. For various reasons, certain plans might be preferred over others at design time. Most BDI agents platforms use hard-coding these preferences in some form of the static ordering of the reactive rules, but keeping the preferential structure implicit limits script reuse and generalization. This paper proposes an approach to add qualitative preferences over adoption/avoidance of procedural goals into an agent script, building upon the well-known notation of conditional ceteris paribus preference networks (CP-nets). For effective execution, the procedural knowledge and the preferential structure of the agent are mapped in an off-line fashion into a new reactive agent script. This solution contrasts with recent proposals integrating preferences as a rationale in the decision making cycle, and so overriding the reactive nature of BDI agents. © 2019 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-35664-4_3,Communications in Computer and Information Science,"A long-standing challenge in Reinforcement Learning is enabling agents to learn a model of their environment which can be transferred to solve other problems in a world with the same underlying rules. One reason this is difficult is the challenge of learning accurate models of an environment. If such a model is inaccurate, the agent’s plans and actions will likely be sub-optimal, and likely lead to the wrong outcomes. Recent progress in model-based reinforcement learning has improved the ability for agents to learn and use predictive models. In this paper, we extend a recent deep learning architecture which learns a predictive model of the environment that aims to predict only the value of a few key measurements, which are indicative of an agent’s performance. Predicting only a few measurements rather than the entire future state of an environment makes it more feasible to learn a valuable predictive model. We extend this predictive model with a small, evolving neural network that suggests the best goals to pursue in the current state. We demonstrate that this allows the predictive model to transfer to new scenarios where goals are different, and that the adaptive goals can even adjust agent behavior on-line, changing its strategy to fit the current context. © 2019 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-36150-1_41,Advances in Intelligent Systems and Computing,"The growing need of technological assistance to provide support to people with special needs demands for systems more and more efficient and with better performances. With this aim, this work tries to advance in a multirobot platform that allows the coordinated control of different agents and other elements in the environment to achieve an autonomous behavior based on the user’s needs or will. Therefore, this environment is structured according to the potentiality of each agent and elements of this environment and of the dynamic context, to generate the adequate actuation plans and the coordination of their execution. © 2020 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-45778-5_28,Lecture Notes in Computer Science,"In this article we start from the observation that REST services are the most used as tools of interoperability and orchestration in the Internet of Things (IoT). But REST does not make it possible to inject artificial intelligence into connected objects, i.e. it cannot allow autonomy and decision-making by the objects themselves. To define an intelligence to a connected object, one can use a Believe Desire Intention agent (BDI an intelligent agent that adopts human behavior) such as Jason Agentspeak. But Jason AgentSpeak does not guarantee orchestration or choreography between connected objects. There are platforms for service orchestration and choreography in IoT, still the interconnection with artificial intelligence needs to be built. In this article, we propose a new approach called Jason-RS. It is a result of pairing Jason BDI agent with the web service technologies to exploit the agent capacity as a service, Jason-RS turn in Java SE and it does not need any middleware. The architecture that we propose allows to create the link between Artificial Intelligence and Services choreography to reduce human intervention in the service choreography. In order to validate the proposed approach, we have interconnected the Iot BeC3 platform and the REST agent (Jason-RS). The decision-making faculty offered by Jason-RS is derived from the information sent by the objects according to the different methods of REST (GET, POST, PUT, and DELETE) that Jason-RS offers. As a result, the objects feed the inter-agent collaborations and decision-making inside the agent. Finally, we show that Jason-RS allows the Web of Objects to power complex systems such as an artificial intelligence responsible for processing data. This performance is promising. © 2020 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-46147-8_31,Lecture Notes in Computer Science,"Deep learning is very effective at jointly learning feature representations and classification models, especially when dealing with high dimensional input patterns. Probabilistic logic reasoning, on the other hand, is capable of take consistent and robust decisions in complex environments. The integration of deep learning and logic reasoning is still an open-research problem and it is considered to be the key for the development of real intelligent agents. This paper presents Deep Logic Models, which are deep graphical models integrating deep learning and logic reasoning both for learning and inference. Deep Logic Models create an end-to-end differentiable architecture, where deep learners are embedded into a network implementing a continuous relaxation of the logic knowledge. The learning process allows to jointly learn the weights of the deep learners and the meta-parameters controlling the high-level reasoning. The experimental results show that the proposed methodology overcomes the limitations of the other approaches that have been proposed to bridge deep learning and reasoning. © 2020 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-49778-1_2,Lecture Notes in Computer Science,"Currently, distributed cyber-physical systems (CPS) rely upon embedded real-time systems, which can guarantee compliance with time constraints. CPS are increasingly required to act and interact with one another in dynamic environments. In the last decades, the Belief-Desire-Intention (BDI) architecture has proven to be ideal for developing agents with flexible behavior. However, current BDI models can only reason about time and not in time. This lack prevents BDI agents from being adopted in designing CPS, and particularly in safety-critical applications. This paper proposes a revision of the BDI model by integrating real-time mechanisms into the reasoning cycle of the agent. By doing so, the BDI agent can make decisions and execute plans ensuring compliance with strict timing constraints also in dynamic environments, where unpredictable events may occur. © 2020 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-51310-8_25,Lecture Notes in Computer Science,"This paper describes a prototype system for partial automation of customer service operations of a mobile telecommunications operator with a human-in-the loop conversational agent. The agent consists of an intent detection system for identifying the types of customer requests that it can handle appropriately, a slot filling information extraction system that integrates with the customer service database for a rule-based treatment of the common scenarios, and a template-based language generation system that builds response candidates that can be approved or amended by customer service operators. The main focus of this paper is on the system architecture and machine learning system structure design, and the observations of a limited pilot study performed to evaluate the proposed system on customer messages in Latvian. We also discuss the business requirements and practical application limitations and their influence on the design of the natural language processing components. © 2020 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-51417-4_10,Lecture Notes in Computer Science,"One of the major advantages of modular architectures in robotic systems is the ability to add or replace nodes, without needing to rearrange the whole system. In this type of system, autonomous agents can aid in the decision making and high-level control of the robot. For example, a robot may have a module for each of the effectors and sensors that it has and an agent with a plan library containing high-level plans to aid in the decision making within these modules. However, when autonomously replacing a node it can be difficult to reconfigure plans in the agent’s plan library while retaining correctness. In this paper, we exploit the formal concept of capabilities in Belief-Desire-Intention agents and describe how agents can reason about these capabilities in order to reconfigure their plan library while retaining overall correctness constraints. To validate our approach, we show the implementation of our framework and an experiment using a practical example in the Mars rover scenario. © 2020 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-54994-7_16,Lecture Notes in Computer Science,"The design of autonomous vehicles includes obstacle detection and avoidance, route planning, speed control, etc. However, there is a lack of an explicitely representation of the rules of the road on an autonomous vehicle. Additionally, it is necessary to understand the behaviour of an autonomous vehicle in order to check whether or not it works according to the rules of the road. Here, we propose an agent-based architecture to embed the rules of the road into an agent representing the behaviour of an autonomous vehicle. We use temporal logic to formally represent the rules of the road in a way it should be possible to capture when and how a given rule of the road can be applied. Our contributions include: i. suggestion of changes in the rules of the road; ii. representation of rules in a suitable way for an autonomous vehicle agent; iii. dealing with indeterminate terms in the Highway Code. © 2020 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-58115-2_33,Lecture Notes in Computer Science,"Learning classifier systems (LCSs) are population-based predictive systems that were originally envisioned as agents to act in reinforcement learning (RL) environments. These systems can suffer from population bloat and so are amenable to compaction techniques that try to strike a balance between population size and performance. A well-studied LCS architecture is XCSF, which in the RL setting acts as a Q-function approximator. We apply XCSF to a deterministic and stochastic variant of the FrozenLake8x8 environment from OpenAI Gym, with its performance compared in terms of function approximation error and policy accuracy to the optimal Q-functions and policies produced by solving the environments via dynamic programming. We then introduce a novel compaction algorithm (Greedy Niche Mass Compaction—GNMC) and study its operation on XCSF’s trained populations. Results show that given a suitable parametrisation, GNMC preserves or even slightly improves function approximation error while yielding a significant reduction in population size. Reasonable preservation of policy accuracy also occurs, and we link this metric to the commonly used steps-to-goal metric in maze-like environments, illustrating how the metrics are complementary rather than competitive. © 2020 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-59299-8_3,Lecture Notes in Computer Science,"During our participation in MAPC 2019, we have developed two multi-agent systems that have been designed specifically for this competition. The first of the systems is a proactive system that works with pre-specified scenarios and tasks agents with generated goals designed for individual agents according to assigned role. The second system is designed as more reactive and employs layered architecture with highly dynamic behaviour, where agents select their own action based on their perception of usefulness of said action. © 2022 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-66412-1_1,Lecture Notes in Computer Science,"The architecture described in this paper encodes a theory of intentions based on the principles of non-procrastination, persistence, and relevance. The architecture reasons with transition diagrams at two different resolutions, with the fine-resolution description defined as a refinement of, and hence tightly-coupled with, a coarse-resolution description. For any given goal, non-monotonic logical reasoning with the coarse-resolution description computes an activity, i.e., a plan, comprising a sequence of abstract actions to be executed to achieve the goal. Each abstract action is implemented as a sequence of concrete actions by automatically zooming to and reasoning with the part of the fine-resolution transition diagram relevant to the coarse-resolution transition and the goal. Each concrete action is executed using probabilistic models of the uncertainty in sensing and actuation, and the corresponding coarse-resolution observations are added to the coarse-resolution history. Experimental results in the context of simulated and physical robots indicate improvements in reliability and efficiency compared with an architecture that does not include the theory of intentions, and an architecture that does not include zooming for fine-resolution reasoning. © 2021 Elsevier B.V., All rights reserved.",
10.1007/978-3-030-69322-0_14,Lecture Notes in Computer Science,"Current agent architectures implementing the belief-desire-intention (BDI) model consider agents which respond reactively to internal and external events by selecting the first-available plan. Priority between plans is hard-coded in the program, and so the reasons why a certain plan is preferred remain in the programmer’s mind. Recent works that attempt to include explicit preferences in BDI agents treat preferences essentially as a rationale for planning tasks to be performed at run-time, thus disrupting the reactive nature of agents. In this paper we propose a method to include declarative preferences (i.e. concerning states of affairs) in the agent program, and to use them in a manner that preserves reactivity. To achieve this, the plan prioritization step is performed offline, by (a) generating all possible outcomes of situated plan executions, (b) selecting a relevant subset of situation/outcomes couplings as representative summary for each plan, (c) sorting the plans by evaluating summaries through the agent’s preferences. The task of generating outcomes in several conditions is performed by translating the agent’s procedural knowledge to an ASP program using discrete-event calculus. © 2021 Elsevier B.V., All rights reserved.",
