"Document Title","DOI","Link","Abstract"
"SketchAgent: Generating Structured Diagrams from Hand-Drawn Sketches","10.24963/ijcai.2025/214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021818304&doi=10.24963%2Fijcai.2025%2F214&partnerID=40&md5=daf5b16fe70723b42a7d5883a0ff7df5","Hand-drawn sketches are a natural and efficient medium for capturing and conveying ideas. Despite significant advancements in controllable natural image generation, translating freehand sketches into structured, machine-readable diagrams remains a labor-intensive and predominantly manual task. The primary challenge stems from the inherent ambiguity of sketches, which lack the structural constraints and semantic precision required for automated diagram generation. To address this challenge, we introduce SketchAgent, a multiagent system designed to automate the transformation of hand-drawn sketches into structured diagrams. SketchAgent integrates sketch recognition, symbolic reasoning, and iterative validation to produce semantically coherent and structurally accurate diagrams, significantly reducing the need for manual effort. To evaluate the effectiveness of our approach, we propose the Sketch2Diagram Benchmark, a comprehensive dataset and evaluation framework encompassing eight diverse diagram categories, such as flowcharts, directed graphs, and model architectures. The dataset comprises over 6,000 high-quality examples with token-level annotations, standardized preprocessing, and rigorous quality control. By streamlining the diagram generation process, SketchAgent holds great promise for applications in design, education, and engineering, while offering a significant step toward bridging the gap between intuitive sketching and machine-readable diagram generation. © 2025 International Joint Conferences on Artificial Intelligence. All rights reserved."
"Agentic AI-Enhanced Virtual Reality for Adaptive Immersive Learning Environments","10.58496/MJCSC/2025/026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021348558&doi=10.58496%2FMJCSC%2F2025%2F026&partnerID=40&md5=12a15845529e6b03a305b6a8add33d0a","Immersive learning using Virtual Reality (VR) has gained prominence for delivering experiential, engaging education. However, most VR learning environments lack real-time adaptability, personalization, and cognitive responsiveness. This study presents an Agentic AI-enabled VR framework that autonomously adjusts pedagogical content, interaction style, and challenge level based on learner behavior, emotions, and performance feedback. The proposed system integrates a reinforcement learning-based agent with a virtual reality module to form an intelligent tutor capable of independent decision-making. A neuro-symbolic model processes multi-modal feedback (gesture, speech, gaze, performance) to determine context-aware pedagogical strategies. The system employs a self-evolving curriculum logic that adapts in real time. Experiments are conducted using Unity3D integrated with Python-based RL agents and simulated student models. Results demonstrate a 35.7% improvement in learner retention and a 42.1% reduction in cognitive overload compared to traditional static VR systems. The agent successfully personalized 92.3% of scenarios without human intervention. Emotional adaptivity and dynamic pacing showed increased engagement and reduced frustration metrics among diverse learners. Agentic VR represents a paradigm shift in intelligent education systems, enabling autonomous, emotionally-aware, and responsive learning environments. The proposed framework outperforms conventional VR platforms by offering real-time adaptive learning without pre-scripted logic. Integrating reinforcement learning, neuro-symbolic reasoning, and affective feedback into a single VR space results in a novel contribution to adaptive educational technology. The reported metrics were obtained from an administrator-controlled user study of 10 participants (aged 18-25 years), all of whom participated in three VR-based learning experiences as described in a controlled evaluative protocol. This study provides a foundation for future work on autonomous agents in educational met verses, special education, and lifelong learning systems. © 2025, Mesopotamian Academic Press. All rights reserved."
"DRAE: Dynamic Retrieval-Augmented Expert Networks for Lifelong Learning and Task Adaptation in Robotics","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021029408&partnerID=40&md5=f903520edb0232b02683262efb144faf","We introduce Dynamic Retrieval-Augmented Expert Networks (DRAE), a groundbreaking architecture that addresses the challenges of lifelong learning, catastrophic forgetting, and task adaptation by combining the dynamic routing capabilities of Mixture-of-Experts (MoE); leveraging the knowledge-enhancement power of Retrieval-Augmented Generation (RAG); incorporating a novel hierarchical reinforcement learning (RL) framework; and coordinating through ReflexNet-SchemaPlanner-HyperOptima (RSHO).DRAE dynamically routes expert models via a sparse MoE gating mechanism, enabling efficient resource allocation while leveraging external knowledge through parametric retrieval (P-RAG) to augment the learning process. We propose a new RL framework with ReflexNet for low-level task execution, SchemaPlanner for symbolic reasoning, and HyperOptima for long-term context modeling, ensuring continuous adaptation and memory retention. Experimental results show that DRAE significantly outperforms baseline approaches in long-term task retention and knowledge reuse, achieving an average task success rate of 82.5% across a set of dynamic robotic manipulation tasks, compared to 74.2% for traditional MoE models. Furthermore, DRAE maintains an extremely low forgetting rate, outperforming state-of-the-art methods in catastrophic forgetting mitigation. These results demonstrate the effectiveness of our approach in enabling flexible, scalable, and efficient lifelong learning for robotics. © 2025 Association for Computational Linguistics."
"Adaptive Neuro-Symbolic framework with dynamic contextual reasoning: A novel framework for semantic understanding","10.3934/mbe.2025112","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020762964&doi=10.3934%2Fmbe.2025112&partnerID=40&md5=dfa4bbe15bff1e57b7dda41da6527dd2","Despite significant advances in image processing, achieving human-like semantic understanding and explainability remains a formidable challenge. Current deep learning models excel at feature extraction but lack the ability to reason about relationships, interpret context, or provide transparent decision-making. To address these limitations, we propose the adaptive neuro-symbolic framework with dynamic contextual reasoning (ANS-DCR), a novel architecture that seamlessly integrates neural networks with symbolic reasoning. ANS-DCR introduces four key innovations: 1) A contextual embedding layer (CEL) that dynamically converts neural features into structured symbolic embeddings tailored to the scene’s context; 2) hierarchical knowledge graphs (HKGs) that encode multi-level object relationships and update in real-time on the basis of neural feedback; 3) an adaptive reasoning engine (ARE) that performs scalable, context-aware logical reasoning; and 4) an explainable decision-making module (EDM) that generates human-readable explanations, including counterfactuals, enhancing interpretability. This framework bridges the gap between pattern recognition and logical reasoning, enabling deeper semantic understanding and dynamic adaptability. We demonstrate ANS-DCR’s efficacy in complex scenarios such as autonomous driving, where it accurately interprets traffic scenes, predicts behaviors, and provides clear explanations for decisions. Experimental results show superior performance in semantic segmentation, contextual reasoning, and explainability compared with state-of-the-art methods. By combining the strengths of neural and symbolic paradigms, ANS-DCR sets a new benchmark for intelligent, transparent, and scalable image processing systems, offering transformative potential for applications in robotics, healthcare, and beyond. The source code of the proposed ANS-DCR is at github.com/livingjesus/ANS-DCR. ©2025 the Author(s), licensee AIMS Press."
"Bayesian Inverse Physics for Neuro-Symbolic Robot Learning","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020240592&partnerID=40&md5=dd53c0e33ce98bf0cccebb000ae2511f","Real-world robotic applications, from autonomous exploration to assistive technologies, require adaptive, interpretable, and data-efficient learning paradigms. While deep learning architectures and foundation models have driven significant advances in diverse robotic applications, they remain limited in their ability to operate efficiently and reliably in unknown and dynamic environments. In this position paper, we critically assess these limitations and introduce a conceptual framework for combining data-driven learning with deliberate, structured reasoning. Specifically, we propose leveraging differentiable physics for efficient world modeling, Bayesian inference for uncertainty-aware decision-making, and meta-learning for rapid adaptation to new tasks. By embedding physical symbolic reasoning within neural models, robots could generalize beyond their training data, reason about novel situations, and continuously expand their knowledge. We argue that such hybrid neuro-symbolic architectures are essential for the next generation of autonomous systems, and to this end, we provide a research roadmap to guide and accelerate their development. © 2025 O. Arriaga, R. Adam, M. Laux, L. Gutzeit, M. Ragni, J. Peters & F. Kirchner."
"JARVIS: A Neuro-Symbolic Commonsense Reasoning Framework for Conversational Embodied Agents","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020239322&partnerID=40&md5=927910347e10f466df14a9df1c3b361a","Building a conversational embodied agent to execute real-life tasks has been a long-standing yet quite challenging research goal, as it requires effective human-agent communication, multi-modal understanding, long-range sequential decision making, etc. Traditional symbolic methods have scaling and generalization issues, while end-to-end deep learning models suffer from data scarcity and high task complexity, and are often hard to explain. Tobenefit from both worlds, we propose JARVIS, a neuro-symbolic commonsense reasoning framework for modular, generalizable, and interpretable conversational embodied agents. First, it acquires symbolic representations by prompting large language models (LLMs) for language understanding and sub-goal planning, and by constructing semantic maps from visual observations. Then the symbolic module reasons for sub-goal planning and action generation based on task- and action-level common sense. Extensive experiments on the TEACh dataset validate the efficacy and efficiency of our JARVIS framework, which achieves state-of-the-art (SOTA) results on all three dialog-based embodied tasks, including Execution from Dialog History (EDH), Trajectory from Dialog (TfD), and Two-Agent Task Completion (TATC) (e.g., our method boosts the unseen Success Rate on EDH from6.1% to 15.8%). Moreover, we systematically analyze the essential factors that affect the task performance and also demonstrate the superiority of our method in few-shot settings. Our JARVIS model ranks first in the Alexa Prize SimBot Public Benchmark Challenge. © 2025 K. Zheng, K. Zhou, J. Gu, Y. Fan, J. Wang, Z. Di, X. He & X.E. Wang."
"Knowledge Driven Robotics (KDR)","10.1109/CASE58245.2025.11164082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018325625&doi=10.1109%2FCASE58245.2025.11164082&partnerID=40&md5=b523a59c0cafafe2b0096c9ec795a425","This paper presents a software architecture that enables practical deployment of robotic systems in roles that require the execution of tasks not well-defined at design time. The paradigm employed is a maximization of reuse, generalization, and interoperability of logical structures and robot tasks which can readily be composited, supporting a robust and flexible autonomy stack. The Knowledge Driven Robotics (KDR) software architecture achieves this by offering a unique set of interactions between symbolic planning, Behavior Trees, and database information. New composite tasks can readily be composed of highly parameterized atomic tasks to manipulate known classes of task objects. Key contributions include the ability of the behavior layer to query, transform, and utilize data in a flexible manner and to act as data management systems during execution, as well as surrounding infrastructure enabling the treatment of data as a first-class citizen. © 2025 IEEE."
"Curiosity-Driven Imagination: Discovering Plan Operators and Learning Associated Policies for Open-World Adaptation","10.1109/ICRA55743.2025.11128650","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016696921&doi=10.1109%2FICRA55743.2025.11128650&partnerID=40&md5=b1bfe22741b2a89218a685640b770f71","Adapting quickly to dynamic, uncertain environments - often called 'open worlds' - remains a major challenge in robotics. Traditional Task and Motion Planning (TAMP) approaches struggle to cope with unforeseen changes, are data-inefficient when adapting, and do not leverage world models during learning. We address this issue with a hybrid planning and learning system that integrates two models: a low-level neural network-based model that learns stochastic transitions and drives exploration via an Intrinsic Curiosity Module (ICM), and a high-level symbolic planning model that captures abstract transitions using operators, enabling the agent to plan in an 'imaginary' space and generate reward machines. Our evaluation in a robotic manipulation domain with sequential novelty injections demonstrates that our approach converges faster and outperforms state-of-the-art hybrid methods. © 2025 IEEE."
"Neuro-Symbolic Imitation Learning: Discovering Symbolic Abstractions for Skill Learning","10.1109/ICRA55743.2025.11127692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016649065&doi=10.1109%2FICRA55743.2025.11127692&partnerID=40&md5=a4f630aa8bfe6d246df81fb95320dcf1","Imitation learning is a popular method for teaching robots new behaviors. However, most existing methods focus on teaching short, isolated skills rather than long, multistep tasks. To bridge this gap, imitation learning algorithms must not only learn individual skills but also an abstract understanding of how to sequence these skills to perform extended tasks effectively. This paper addresses this challenge by proposing a neuro-symbolic imitation learning framework. Using task demonstrations, the system first learns a symbolic representation that abstracts the low-level state-action space. The learned representation decomposes a task into easier subtasks and allows the system to leverage symbolic planning to generate abstract plans. Subsequently, the system utilizes this task decomposition to learn a set of neural skills capable of refining abstract plans into actionable robot commands. Experimental results in three simulated robotic environments demonstrate that, compared to baselines, our neuro-symbolic approach increases data efficiency, improves generalization capabilities, and facilitates interpretability. © 2025 IEEE."
"Fast and Accurate Task Planning using Neuro-Symbolic Language Models and Multi-Level Goal Decomposition","10.1109/ICRA55743.2025.11127617","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016564924&doi=10.1109%2FICRA55743.2025.11127617&partnerID=40&md5=a39e1c5687c33a38a633866b53e50708","In robotic task planning, symbolic planners using rule-based representations like PDDL are effective but struggle with long-sequential tasks in complicated environments due to exponentially increasing search space. Meanwhile, LLM-based approaches, which are grounded in artificial neural networks, offer faster inference and commonsense reasoning but suffer from lower success rates. To address the limitations of the current symbolic (slow speed) or LLM-based approaches (low accuracy), we propose a novel neuro-symbolic task planner that decomposes complex tasks into subgoals using LLM and carries out task planning for each subgoal using either symbolic or MCTS-based LLM planners, depending on the subgoal complexity. This decomposition reduces planning time and improves success rates by narrowing the search space and enabling LLMs to focus on more manageable tasks. Our method significantly reduces planning time while maintaining high success rates across three task planning domains, as well as real-world and simulated robotics environments. More details are available at http://graphics.ewha.ac.kr/LLMTAMP/. © 2025 IEEE."
"Chameleon: Fast-Slow Neuro-Symbolic Lane Topology Extraction","10.1109/ICRA55743.2025.11127684","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016533195&doi=10.1109%2FICRA55743.2025.11127684&partnerID=40&md5=57668dc86f3dc14d684fcb565454fdbd","Lane topology extraction involves detecting lanes and traffic elements and determining their relationships, a key perception task for mapless autonomous driving. This task requires complex reasoning, such as determining whether it is possible to turn left into a specific lane. To address this challenge, we introduce neuro-symbolic methods powered by vision-language foundation models (VLMs). Existing approaches have notable limitations: (1) Dense visual prompting with VLMs can achieve strong performance but is costly in terms of both financial resources and carbon footprint, making it impractical for robotics applications. (2) Neuro-symbolic reasoning methods for 3D scene understanding fail to integrate visual inputs when synthesizing programs, making them ineffective in handling complex corner cases. To this end, we propose a fast-slow neuro-symbolic lane topology extraction algorithm, named Chameleon, which alternates between a fast system that directly reasons over detected instances using synthesized programs and a slow system that utilizes a VLM with a chain-of-thought design to handle corner cases. Chameleon leverages the strengths of both approaches, providing an affordable solution while maintaining high performance. We evaluate the method on the OpenLane-V2 dataset, showing consistent improvements across various baseline detectors. Our code, data, and models are publicly available at https://github.com/XR-Lee/neural-symbolic. © 2025 IEEE."
"Structured Intelligence: Merging Neural and Symbolic AI","10.1109/ICOCT64433.2025.11118474","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016311214&doi=10.1109%2FICOCT64433.2025.11118474&partnerID=40&md5=168678001178bbdec3f0d92bfdf7fcf3","In order to close the gap between statistical learning and explicit knowledge representation, a new interdisciplinary field called neuro-symbolic AI combines deep learning with symbolic reasoning. Symbolic reasoning offers structured decision-making and logical inference, while deep learning excels at pattern recognition and feature extraction. Key architectures, hybrid models, and differentiable symbolic reasoning techniques are all covered in this paper's thorough analysis of recent developments in neuro-symbolic AI. We investigate its uses in a number of fields, such as automated reasoning, natural language processing, robotics, and explainable AI. We also examine issues like scalability, interpretability, and knowledge transfer that arise when combining neural and symbolic approaches. We conclude by outlining possible avenues for future research, emphasizing the necessity of enhancing neuro-symbolic AI systems' generalization, resilience, and effectiveness. © 2025 IEEE."
"Probing a Vision-Language-Action Model for Symbolic States and Integration into a Cognitive Architecture","10.1109/ICAD65464.2025.11114062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016150697&doi=10.1109%2FICAD65464.2025.11114062&partnerID=40&md5=647ff6f9c1c2afc8963e6b92b51764ce","Vision-language-action (VLA) models hold promise as generalist robotics solutions by translating visual and linguistic inputs into robot actions, yet they lack reliability due to their black-box nature and sensitivity to environmental changes. In contrast, cognitive architectures (CA) excel in symbolic reasoning and state monitoring but are constrained by rigid predefined execution. This work bridges these approaches by probing OpenVLA's hidden layers to uncover symbolic representations of object properties, relations, and action states, enabling integration with a CA for enhanced interpretability and robustness. Through experiments on LIBERO-spatial pick-and-place tasks, we analyze the encoding of symbolic states across different layers of OpenVLA's Llama backbone. Our probing results show consistently high accuracies (>0.90) for both object and action states across most layers, though contrary to our hypotheses, we did not observe the expected pattern of object states being encoded earlier than action states. We demonstrate an integrated DIARCOpenVLA system that leverages these symbolic representations for real-time state monitoring, laying the foundation for more interpretable and reliable robotic manipulation. © 2025 IEEE."
"Supporting Human-Robot Collaboration and Safety with the Proposed Explainable Neuro-Symbolic Reasoning","10.1007/978-3-032-00642-4_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013968609&doi=10.1007%2F978-3-032-00642-4_15&partnerID=40&md5=3681083bea94a03e8ac649c4c0270cff","In this article, an overview of the innovative architecture of a hybrid AI neuro-symbolic architecture which uses high-resolution deep vision with probabilistic first-order logic for safety monitoring and anomaly detection in Human-Robot Collaboration environment is proposed. Firstly, the problem and the proposed solution and its application to human-robot collaboration scenarios is outlined. Then, the performance of the proposed method for anomaly detection and its conformity to the requirements defined by the end-users in realistic scenarios is discussed. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025."
