"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Modelling Experts’ Sampling Strategy to Balance Multiple Objectives During Scientific Explorations","S. Liu; C. G. Wilson; Z. I. Lee; F. Qian","University of Southern California, USA; Oregon State University, USA; Oregon State University, USA; University of Southern California, USA",2024 19th ACM/IEEE International Conference on Human-Robot Interaction (HRI),"10 Sep 2024","2024","","","452","461","During scientific explorations, scientists often hold multiple, conflicting objectives. Understanding how scientists prioritize and balance these objectives is crucial for developing cognitively-compatible robotic teammates and fostering effective human-robot collaboration. In this study, we seek to improve the cognitive compatibility of robotic algorithms by modelling human’ decision making processes under multiple objectives. Collected human decision data from 141 sampling steps indicate that the majority of scientists adopt one of the following objective balancing strategies: (i) A Focus mode, where experts select sampling location to primarily optimize their primary objective; (ii) A Hierarchy mode, where experts hierarchically satisfy foremost their primary objective, then, to a lesser extent, their secondary objective; and (iii) A Trade-off mode, where experts select sampling locations to satisfy all objectives, even the location was not ideal for either objective. To understand how experts choose among the different modes, we quantitatively characterize the three types of strategies, by representing the decision data from each sampling step in an objective function space. Analysis of the strategy types reveals that, experts’ adaptation of multi-objective coordinating strategies are primarily governed by two key decision factors: current stages of sampling, and outstanding reward values. Based on this discovery, we developed a highly simplified decision algorithm that connects experts’ high-level objectives to desired sampling locations under multiple objectives. Deployment of this algorithm at a planetary-analogue field exploration mission on Mt. Hood demonstrates its potential in enabling robots to participate in the decision making process and suggest sampling plans that align well with scientists’ high-level goals.CCS CONCEPTS• Computing methodologies → Cognitive robotics.","2167-2121","979-8-4007-0322-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10660828","decision making;human-robot teaming;cognitive model","Robot kinematics;Computational modeling;Decision making;Human-robot interaction;Collaboration;Linear programming;Cognitive robotics","","","","53","","10 Sep 2024","","","IEEE","IEEE Conferences"
"ITIRRT: A Decoupled Framework for the Integration of Machine Learning Into Path Planning","T. Barbie; S. Mukai","OMRON Corporation, Kyoto, Japan; OMRON Corporation, Kyoto, Japan",2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"13 Dec 2023","2023","","","11313","11320","Machine learning models have been successfully applied in many separate domains in the recent years. Yet, there is still a large disconnect with the path planning community mainly due to implementation difficulty. In this paper, we identify the issues and present a path planning framework that aims to ease the integration of machine learning models. The framework is divided into two phases: prediction and planning. During the prediction phase machine learning models are used to predict a path solution which, while not perfect, is enough to jump-start our proposed planner. The planning phase begins with the initialization of multiple independent tree data structures and, during execution, our planner merges the different trees until a path is found. Due to the architecture of our framework, the prediction and the planning phases are totally decoupled, resulting in a planner that treats the information given by the prediction model as a guess and not as a path to be corrected. This also allows our planner to maintain its probabilistic completeness. Our planner was evaluated on simulated environments and on a small robotic arm. We show that our planner can successfully leverage predicted paths to significantly improve the planning performances. We also demonstrate the flexibility of our framework by integrating multiple machine learning models of varying complexity.","2153-0866","978-1-6654-9190-7","10.1109/IROS55552.2023.10341747","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10341747","","Tree data structures;Computational modeling;Machine learning;Computer architecture;Predictive models;Probabilistic logic;Manipulators","","1","","37","IEEE","13 Dec 2023","","","IEEE","IEEE Conferences"
"Embodied AI: Bridging Simulation and Reality in Robotics","P. Xu","School of Electronics and Communication Engineering, Sun Yat-Sen University, Guangzhou, China","2025 4th International Symposium on Robotics, Artificial Intelligence and Information Engineering (RAIIE)","2 Sep 2025","2025","","","244","248","This paper presents a comprehensive review of simulation-to-reality (Sim2Real) transfer techniques in the context of embodied artificial intelligence (embodied AI). Embodied AI refers to artificial intelligence systems that interact with the environment through a physical or virtual body (e.g., robots, virtual agents), enabling perception, decision-making, and action in real or simulated spaces. We focus on their applications in robotic learning and control. By critically comparing the capabilities of mainstream simulation platforms such as Habitat and Isaac Gym, the study identifies core trade-offs between physical realism and computational efficiency. It further analyzes transfer methodologies, including domain randomization, domain adaptation, and hybrid techniques, highlighting their effectiveness and limitations in dynamic and unstructured environments. The review also investigates the emerging role of large multimodal models, such as PaLM-E and RT-2, in bridging semantic understanding with robotic action. While these models offer significant improvements in generalization and task planning, challenges remain in achieving real-time performance and physical grounding. The findings suggest that simulation fidelity alone does not guarantee successful transfer, hybrid transfer methods outperform single-strategy approaches in complex settings, and large language models hold promise for enhancing robot intelligence but must be optimized for embedded deployment. This study offers practical insights for developing scalable and cost-effective Sim2Real pipelines in industrial applications such as autonomous navigation and robotic manipulation. It further outlines future directions in edge computing, lightweight modeling, and ethics-aware simulation, promoting the integration of physics-aware AI in real-world robotic systems.","","979-8-3315-2452-4","10.1109/RAIIE65740.2025.11140070","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11140070","Sim2Real;Embodied AI;Simulation Platforms;LLMs;Sim2Real Transfer Methods","Training;Ethics;Service robots;Reviews;Computational modeling;Semantics;Real-time systems;Planning;Artificial intelligence;Robots","","","","16","IEEE","2 Sep 2025","","","IEEE","IEEE Conferences"
"Learning Symbolic Operators for Task and Motion Planning","T. Silver; R. Chitnis; J. Tenenbaum; L. P. Kaelbling; T. Lozano-Pérez",MIT Computer Science and Artificial Intelligence Laboratory; MIT Computer Science and Artificial Intelligence Laboratory; MIT Computer Science and Artificial Intelligence Laboratory; MIT Computer Science and Artificial Intelligence Laboratory; MIT Computer Science and Artificial Intelligence Laboratory,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"16 Dec 2021","2021","","","3182","3189","Robotic planning problems in hybrid state and action spaces can be solved by integrated task and motion planners (TAMP) that handle the complex interaction between motion-level decisions and task-level plan feasibility. TAMP approaches rely on domain-specific symbolic operators to guide the task-level search, making planning efficient. In this work, we formalize and study the problem of operator learning for TAMP. Central to this study is the view that operators define a lossy abstraction of the transition model of a domain. We then propose a bottom-up relational learning method for operator learning and show how the learned operators can be used for planning in a TAMP system. Experimentally, we provide results in three domains, including long-horizon robotic planning tasks. We find our approach to substantially outperform several baselines, including three graph neural network-based model-free approaches from the recent literature. Video: https://youtu.be/iVfpX9BpBRo. Code: https://git.io/JCT0g","2153-0866","978-1-6654-1714-3","10.1109/IROS51168.2021.9635941","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9635941","","Learning systems;Reinforcement learning;Planning;Task analysis;Standards;Intelligent robots","","30","","30","IEEE","16 Dec 2021","","","IEEE","IEEE Conferences"
"A Two-Degree-of-Freedom Ankle Exoskeleton With Control of Plantarflexion and Inversion–Eversion","M. Jacobson; P. Kantharaju; S. S. Vakacherla; M. Kim","Mechanical and Industrial Engineering Department, University of Illinois, Chicago, IL, USA; Mechanical and Industrial Engineering Department, University of Illinois, Chicago, IL, USA; Mechanical and Industrial Engineering Department, University of Illinois, Chicago, IL, USA; Mechanical and Industrial Engineering Department, University of Illinois, Chicago, IL, USA",IEEE/ASME Transactions on Mechatronics,"17 Apr 2025","2025","30","2","967","977","Balancing during motion involves humans using inversion–eversion control, a task that robotic exoskeletons can help with. In this study, we developed a two-degree-of-freedom robotic ankle exoskeleton that provides active assistance in both inversion–eversion and plantarflexion using a hybrid material design. This exoskeleton is lightweight, weighing 1.2 kg fully assembled, and offers a rapid step response, demonstrated by rise times of 69 ms $\pm$ 8.4e $-$4 for plantarflexion, and 95 ms $\pm$ 5.4e$-$2 for inversion–eversion. The device presents a gain-limited torque control bandwidth of 16 Hz for plantarflexion and 12 Hz for inversion–eversion. It can generate peak torques of 70 N$\cdot$ m for plantarflexion and $\pm$ 14 N $\cdot$ m for inversion–eversion. In trials where two healthy individuals walked using the device, tracking errors were found to be on average 1.5 $\pm$ 1.4 N $\cdot$ m for plantarflexion and 1.0 $\pm$ 0.7 N $\cdot$ m for inversion–eversion. A single subject was also used as a case study to determine the potential effect of inversion assistance on frontal plane balance. The subject was able to decrease the step-width variability during walking by 58.3% when compared to the no exoskeleton condition. These results indicate that this device could serve as an effective tool for developing and testing balance-centric methodologies in controlled human subject studies.","1941-014X","","10.1109/TMECH.2025.3532211","National Institute for Occupational Safety & Health; National Science Foundation(grant numbers:SES-2024863); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10898019","Exoskeleton;rehabilitation;robotics;wearable","Ankle;Exoskeletons;Torque;Legged locomotion;Actuators;Sensors;Testing;Mechatronics;End effectors;Robot sensing systems","","1","","68","CCBYNCND","21 Feb 2025","","","IEEE","IEEE Journals"
"CoPAL: Corrective Planning of Robot Actions with Large Language Models","F. Joublin; A. Ceravola; P. Smirnov; F. Ocker; J. Deigmoeller; A. Belardinelli; C. Wang; S. Hasler; D. Tanneberg; M. Gienger","Honda Research Institute Europe, Offenbach, Germany; Honda Research Institute Europe, Offenbach, Germany; Honda Research Institute Europe, Offenbach, Germany; Honda Research Institute Europe, Offenbach, Germany; Honda Research Institute Europe, Offenbach, Germany; Honda Research Institute Europe, Offenbach, Germany; Honda Research Institute Europe, Offenbach, Germany; Honda Research Institute Europe, Offenbach, Germany; Honda Research Institute Europe, Offenbach, Germany; Honda Research Institute Europe, Offenbach, Germany",2024 IEEE International Conference on Robotics and Automation (ICRA),"8 Aug 2024","2024","","","8664","8670","In the pursuit of fully autonomous robotic systems capable of taking over tasks traditionally performed by humans, the complexity of open-world environments poses a considerable challenge. Addressing this imperative, this study contributes to the field of Large Language Models (LLMs) applied to task and motion planning for robots. We propose a system architecture that orchestrates a seamless interplay between multiple cognitive levels, encompassing reasoning, planning, and motion generation. At its core lies a novel replanning strategy that handles physically grounded, logical, and semantic errors in the generated plans. We demonstrate the efficacy of the proposed feedback architecture, particularly its impact on executability, correctness, and time complexity via empirical evaluation in the context of a simulation and two intricate real-world scenarios: blocks world, barman and pizza preparation.","","979-8-3503-8457-4","10.1109/ICRA57147.2024.10610434","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10610434","large language models;robotics;planning","Large language models;Semantics;Systems architecture;Cognition;Planning;Complexity theory;Task analysis","","13","","42","IEEE","8 Aug 2024","","","IEEE","IEEE Conferences"
"Hybrid Decentralization for Multi-Robot Orienteering with Mothership-Passenger Systems","N. L. Butler; G. A. Hollinger","Collaborative Robotics and Intelligent Systems (CoRIS) Institute, Oregon State University, Corvallis, ORz, USA; Collaborative Robotics and Intelligent Systems (CoRIS) Institute, Oregon State University, Corvallis, ORz, USA",2025 IEEE International Conference on Robotics and Automation (ICRA),"2 Sep 2025","2025","","","6573","6579","We present a hybrid centralized-decentralized planning algorithm for a multi-robot system consisting of a Mothership robot and multiple Passenger robots. In this system, the Passenger robots execute tasks while the Mothership provides support. This paper addresses the challenge of planning Passenger robot movements, framing it as a Stochastic Multi-Agent Orienteering Problem (SMOP) complicated by factors like stochastic operational efforts and disruptive events. We optimize the task completion efficiency of the system by combining centralized solutions from the Mothership with local plans from Passengers to enhance system resilience. Our contributions include defining the SMOP, developing a solution using Decentralized Monte Carlo Tree Search, presenting a hybrid algorithm that integrates centralized plans into the distributed framework, and evaluating the algorithm's performance in a simulated environment. Our results show that our hybrid approaches outperform fully centralized and fully distributed algorithms in highly-dynamic scenarios with up to a 26.6 % increase in task completion efficiency over baseline methods.","","979-8-3315-4139-2","10.1109/ICRA55743.2025.11127613","NSF(grant numbers:2322055); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11127613","","Fault tolerance;Monte Carlo methods;Robot kinematics;Scheduling;Planning;Multi-robot systems;Distributed algorithms;Resilience","","","","15","USGov","2 Sep 2025","","","IEEE","IEEE Conferences"
"Multi-agent Heterogeneous Hybrid Safe Logistics Sorting System Based on Transformers","C. Cai; G. Lu; C. Liu; W. Wang; Y. Li; H. Song","Beijing Technology and Business University and Tsinghua University, Beijing, China; BNRist and Department of Automation, Tsinghua University, Beijing, China; Beijing Technology and Business University, Beijing, China; Daya Bay Nuclear Power Operations and Management Co., Ltd., Shenzhen, China; Daya Bay Nuclear Power Operations and Management Co., Ltd., Shenzhen, China; Daya Bay Nuclear Power Operations and Management Co., Ltd., Shenzhen, China",IECON 2025 – 51st Annual Conference of the IEEE Industrial Electronics Society,"6 Nov 2025","2025","","","1","6","In order to solve the adaptation problem of dynamic change of cargo throughput and the problem of heterogeneous equipment collaboration in large-scale logistics sorting scenarios, this paper proposes a multi-agent heterogeneous hybrid safe sorting system based on Transformer. By constructing the CTCE/CTDE hybrid multi-agent reinforcement learning framework, the collaborative optimization of centralized task scheduling and distributed path planning is realized. The system uses the Transformer architecture to process the global logistics state, innovatively sets the task state space to realize the task quantization in network training, combines the MAPPO algorithm to realize the real-time obstacle avoidance of UAV and UGV, and introduces a safety projection mechanism to correct abnormal actions to the feasible domain in real time. This research provides a solution with both efficiency and safety for automated sorting in a dynamic logistics environment.","","979-8-3315-9681-1","10.1109/IECON58223.2025.11221825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11221825","Deep reinforcement learning;logistics sorting;heterogeneous collaboration","Training;Quantization (signal);Collaboration;Transformers;Throughput;Real-time systems;Path planning;Safety;Sorting;Logistics","","","","11","IEEE","6 Nov 2025","","","IEEE","IEEE Conferences"
"Continuous Operations and Fully Autonomy of a Social Service Robotic System","B. Hoteit; I. A. Awada; A. Sorici; A. M. Florea","Politehnica University of Bucharest, Bucharest, Romaina; Politehnica University of Bucharest, Bucharest, Romaina; Politehnica University of Bucharest, Bucharest, Romaina; Politehnica University of Bucharest, Bucharest, Romaina",2021 23rd International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC),"10 Feb 2022","2021","","","129","134","Service robots will be a necessity for humans in many areas where robots will provide varied daily services that will become more sophisticated and superior to the capabilities of robots. We show how our robotic system can handle multiple required tasks either sequentially, simultaneously, or concurrently. These tasks can be requested from internal processes or even from any external systems. Moreover, the robotic system can perform tasks in a discrete way or in a more intelligent way as the case of overlapping tasks based on the available resources. Regardless of the presence of the cloud, where the proposed architecture follows a fog paradigm to somehow enable the robot to achieve human-like capabilities, but this system works and is only partially affected if the cloud is lost. In this paper, we provide an overview of how this system outperforms while we are assuming that this architecture could be one of the most systems that can raising the bar for tasks demanded from a social service robot in the near future. However, the planning system is integrated with such a system as a service or as a black box to fully comply with the fog paradigm, and at the same time, an innovative method is presented to generate plans and carry out more than one task. Finally, a use case scenario describes how the system accepts and handles either sequential tasks or even merged tasks, and at the same time, how the system creates and executes plans to achieve these required tasks. We describe the most relevant terminology required to understand the proposed system.","","978-1-6654-0650-5","10.1109/SYNASC54541.2021.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9700219","Robotics;AI;Software Engineer;Planning;Control System","Service robots;Terminology;Scientific computing;Computer architecture;Robustness;Cognition;Planning","","1","","13","IEEE","10 Feb 2022","","","IEEE","IEEE Conferences"
"Hierarchical 3-D Scene-Graph-Based Semantic-Metric SLAM for Plant Inspection and Fruit Counting in Intelligent Hydroponics System","W. Yang; K. Liu; Z. Tan; L. -Y. Lo; Y. Wang; K. -H. Wong; C. -Y. Wen","Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong, SAR, China; Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong, SAR, China; Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong, SAR, China; Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong, SAR, China; Research Institute for Future Food, Department of Food Science and Nutrition, The Hong Kong Polytechnic University, Hong Kong, SAR, China; Research Institute for Future Food, Department of Food Science and Nutrition, The Hong Kong Polytechnic University, Hong Kong, SAR, China; Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong, SAR, China",IEEE Internet of Things Journal,"19 Nov 2025","2025","12","23","49071","49082","The synergistic development of Internet of Things (IoT), robotics, and artificial intelligence (AI) is reshaping the technological paradigms of interdisciplinary laboratories and industrial ecosystems. IoT-enabled vertical farming systems demonstrate significant advantages, achieving yield enhancement while reducing carbon emissions compared to traditional agriculture, thereby providing innovative solutions for sustainable food production. The advancement of robotic technologies further expands the application dimensions of mobile intelligent sensors in vertical farm IoT networks. Based on an autonomous farming system that integrates uncrewed aerial vehicle (UAV), sensors, and modular vertical farming units, this study proposes a 3-D scene graph (3DSG)-based hierarchical mapping method for the dynamic monitoring of plant and fruit growth. Through feedback mechanisms, the system optimizes growth conditions by adjusting lighting and nutrient delivery, while the hierarchical mapping architecture reduces detection errors and enables comprehensive 3-D visualization. The main contributions of this research include: 1) Pioneering application of 3DSG technology to establish a multidimensional spatiotemporal representation model for plant growth processes, supporting interpretable analysis and traceable monitoring; 2) Establishing an uncertainty model through error propagation by systematically analyzing sensor models (covering various common sensor combinations) and integrating these models into 3-D object pose estimation algorithms. This highlights the necessity of hierarchical abstraction levels. The system is validated through simulations and real-world experiments, providing a quantitative evaluation of object pose estimation; and 3) An IoT-driven intelligent vertical farming architecture that integrating mobile robotic perception networks and environmental regulation devices, enabling dynamic acquisition and closed-loop control of plant growth parameters. Open-source code is available at https://github.com/allenthreee/scene_graph, video link: https://youtu.be/dhc8RLmX7hc.","2327-4662","","10.1109/JIOT.2025.3600531","Research Centre for Unmanned Autonomous Systems, The Hong Kong Polytechnic University, Hong Kong, SAR, China(grant numbers:P0046487); Research Centre for Low Altitude Economy, The Hong Kong Polytechnic University(grant numbers:4-CE3P); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11130485","Hierarchical scene graph;hydroponics platform;Internet of Things (IoT);metric-semantic SLAM;sustainable agriculture robots","Simultaneous localization and mapping;Semantics;Three-dimensional displays;Robots;Sensors;Object detection;Measurement;Farming;Internet of Things;Artificial intelligence","","","","49","IEEE","19 Aug 2025","","","IEEE","IEEE Journals"
"BALANCE: Link Flooding Attack Detection and Mitigation via Hybrid-SDN","N. Ravi; S. M. Shalinie; D. Danyson Jose Theres","Department of Computer Science and Engineering, Thiagarajar College of Engineering, Madurai, India; Department of Computer Science and Engineering, Thiagarajar College of Engineering, Madurai, India; Department of Computer Science and Engineering, Thiagarajar College of Engineering, Madurai, India",IEEE Transactions on Network and Service Management,"8 Sep 2020","2020","17","3","1715","1729","Link Flooding Attack (LFA) is a genre of Distributed Denial of Service (DDoS) attack. LFA can cut off a target area from the network, without directly attacking the target. The attacker chooses links which when cut off will disconnect the target area and instruct the bots to flood those links with small packets. Some of the existing solutions are suitable for specific routing methods like shortest path routing or need cooperation between Autonomous Systems (AS). To overcome certain hitches of existing solutions, we have proposed a novel mechanism named BALANCE. It detects and mitigates LFA via hybrid-Software-Defined Network (SDN). SDN splits the control and data plane using OpenFlow protocol. Hybrid SDN has both legacy and SDN nodes, with a controller in the control plane. We have used Service Based Hybrid SDN (SBHS), which is a type of hybrid-SDN. BALANCE begins with an algorithm that chooses nodes in an AS to be SBHS enabled in such a way that the controller can get statistics of all the links in the AS. Next, congestion detection and location algorithms are implemented in the controller to find the congested links. Finally, LFA bot detection and mitigation algorithms are implemented in the controller to mitigate LFA. BALANCE was evaluated in testbed and emulator. We compared the results with state-of-the-art solutions. BALANCE was able to detect LFA bots at a precision of 97.64% and had HTTP response time of 2 seconds during the LFA attack.","1932-4537","","10.1109/TNSM.2020.2997734","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9099887","Link flooding attack;distributed denial of service;hybrid-software-defined network;security","Routing;Computer crime;Servers;Measurement;Bandwidth;Protocols;Collaboration","","32","","27","IEEE","26 May 2020","","","IEEE","IEEE Journals"
"RoboCon: A Modular Robotic Containerization, Orchestration, and Load Balancing Technique for Mixed Hierarchy Task Handling Across Computing Platforms","S. Roy; S. Kalafatis","Department of Electrical and Computer Engineering, Texas A&M University, College Station, Texas, USA; Department of Electrical and Computer Engineering, Texas A&M University, College Station, Texas, USA",2023 5th International Conference on Control and Robotics (ICCR),"29 Feb 2024","2023","","","120","129","This paper introduces an innovative edge-cloud-based modular architecture to enhance the capabilities of multi-robot systems operating in resource-constrained environments. This architecture addresses the limitations often encountered in resource-constrained platforms with lightweight microprocessors by enabling efficient offloading of computationally intensive tasks to hybrid edge-cloud clusters, thereby augmenting computational prowess. Through a comprehensive experimental evaluation, we substantiate the effectiveness of our approach by offloading a rover's perception system to a hybrid edge-cloud cluster, enabling efficient object detection. Our findings highlight the architecture's adaptability, showcasing cloud clusters' speed advantages and local edge clusters' robustness in handling higher network throughput. This insight informs the recommendation to deploy high-throughput applications on edge clusters and computationally intensive tasks with storage and reduced network demands on cloud clusters. Furthermore, this work emphasizes the benefits of containerization and load balancing in modular robotics, facilitating platform-independent development, resource optimization, and enhanced software distribution security. Containerization's minimal impact on CPU and RAM usage has gained prominence in mobile robotic applications. However, supporting mixed-criticality software jobs remains a challenge. This paper presents performance results in federated and adaptive edge-fog-cloud networks, providing valuable insights for planning tasks with mixed-criticality criteria.","","979-8-3503-0762-7","10.1109/ICCR60000.2023.10444794","TAMU Capstone program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10444794","modular robotics;Kubernetes;k3s;load balancing;resource sharing;edge-cloud computing;Docker","Image edge detection;System performance;Computer architecture;Object detection;Throughput;Task analysis;Robots","","3","","28","IEEE","29 Feb 2024","","","IEEE","IEEE Conferences"
"Collaboration of Heterogeneous Marine Robots Toward Multidomain Sensing and Situational Awareness on Partially Submerged Targets","J. Lindsay; J. Ross; M. L. Seto; E. Gregson; A. Moore; J. Patel; R. Bauer","IntelligentSystems Laboratory, Dalhousie University, Halifax, NS, Canada; IntelligentSystems Laboratory, Dalhousie University, Halifax, NS, Canada; IntelligentSystems Laboratory, Dalhousie University, Halifax, NS, Canada; IntelligentSystems Laboratory, Dalhousie University, Halifax, NS, Canada; IntelligentSystems Laboratory, Dalhousie University, Halifax, NS, Canada; IntelligentSystems Laboratory, Dalhousie University, Halifax, NS, Canada; IntelligentSystems Laboratory, Dalhousie University, Halifax, NS, Canada",IEEE Journal of Oceanic Engineering,"12 Oct 2022","2022","47","4","880","894","This article reports on a multirobot system that collaboratively obtains above-water, surface, and below-water information on a floating target. This capability allows a ship to autonomously survey and obtain situational awareness on a floating unresponsive target from a safe stand-off before inspecting it more closely or navigating around it. The target could be another ship, structure, or a navigational obstruction like an iceberg. The proposed solution is a collaborative system with an unmanned aerial vehicle (UAV), an unmanned underwater vehicle (UUV), and an unmanned surface vehicle (USV). The UAV captures visual imagery to create a 3-D model of the target’s above-water geometry using photogrammetry. The UUV surveys the target’s submerged hull with integrated imaging and profiling bathymetric sonars. The USV hosts an intelligent mission-planning node which manages the robotic collaboration in a centralized architecture by autonomously planning and distributing the missions for the UUV and UAV. The intelligent node also adaptively plans the USV’s trajectory to support the other autonomous assets, specifically reducing and bounding the UUV’s state-estimate error through collaborative localization. The resulting above- and below-water sensor data is fused at the waterplane, using a sliding correlation algorithm, to yield a 3-D representation of the floating unresponsive target. The contributions from this article include the cross-domain robotic collaboration and autonomous mission-planning toward acquiring and fusing data from heterogeneous robots. The autonomous mission-planning and data-merging algorithms are presented. The setup and results from simulations and in-water testing with an UUV, USV, and UAV are described.","1558-1691","","10.1109/JOE.2022.3156631","DND IDEaS; Cellula Robotics Ltd.; Irving Shipbuiliding Research Chair; Marine Engineering and Autonomous Systems; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9772063","Autonomous mission-planning;autonomy;mar- ine robotics;multidomain sensor fusion;multirobot collaborat- ion","Autonomous underwater vehicles;Collaboration;Autonomous aerial vehicles;Sensor fusion;Multi-robot systems;Marine robots","","22","","19","IEEE","10 May 2022","","","IEEE","IEEE Journals"
"Combined Multi-Agent and Centralized Resource Allocation in Cloud Radio Access Networks","R. T. Rodoshi; R. A. Nazib; C. Chun; W. Choi","Department of Computer Science, George Mason University, Fairfax, VA, USA; Department of Computer Science, George Mason University, Fairfax, VA, USA; Department of Computer Engineering, Chosun University, Gwangju, Republic of Korea; School of Computer Science and Engineering, Chung-Ang University, Seoul, Republic of Korea",IEEE Access,"7 May 2025","2025","13","","79098","79106","The fifth generation (5G) mobile network is designed to facilitate high data rates with massive connectivity with the benefit of small cell technology. The cloud radio access network (C-RAN) is a promising mobile network architecture that can meet the ever-increasing resource demand of a growing number of users. In C-RAN, base station functionalities are separated into baseband units (BBUs) and remote radio heads (RRHs), with BBUs centralized and virtualized via cloud computing. However, this architecture introduces new challenges in efficiently allocating resources to dynamic users. This paper aims to design a resource allocation scheme that improves system efficiency and satisfies dynamic user demands in C-RAN. We propose a hybrid resource allocation approach that combines centralized control and multi-agent-based decision-making. The centralized controller, located within the BBU pool, collaborates with virtual base stations (VBSs) acting as multi-agent system (MAS) agents. The resource allocation solution is derived by jointly considering the real-time resource requests from agents and the historical demand estimates generated by the centralized controller. Through simulation-based evaluation, we compare our proposed scheme with conventional random and fixed resource allocation methods. The results demonstrate improved performance in terms of resource utilization, reduced unfulfilled demand, and fairness among VBS agents. The proposed combined resource allocation strategy effectively meets dynamic user requirements while maintaining system efficiency in C-RAN. Our work highlights the importance of integrating historical demand trends with real-time agent requests for improved long-term resource planning.","2169-3536","","10.1109/ACCESS.2025.3566389","“Technology Commercialization Collaboration Platform Construction” Project of the INNOPOLIS Foundation(grant numbers:1711177250); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10982217","Cloud radio access network;multi-agent system;resource allocation","Resource management;Dynamic scheduling;Computer architecture;Cloud radio access networks;Base stations;Multi-agent systems;Quality of service;Network architecture;Microprocessors;Market research","","","","15","CCBY","2 May 2025","","","IEEE","IEEE Journals"
"Ensemble Classification and Feature Extraction Based Plant Leaf Disease Recognition","N. Kaur; V. Devendran","School of Computer Science and Engineering, Lovely Professional University, Punjab, India; School of Computer Science and Engineering, Lovely Professional University, Punjab, India","2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)","15 Nov 2021","2021","","","1","4","Plants are a significant source of energy for both humans and animals. Plant leaves are the principal means by which plants communicate with the earth's atmosphere. As a result, it falls on academics and academicians to investigate the situation and devise strategies for identifying disease-infected leaves. This will enable farmers all across the world to take prompt action to prevent their crops from becoming irreparably damaged. Detecting diseases by hand may not be the best option, therefore a robotic technique to discover leaf illnesses could be a boost to the agricultural industry while also increasing crop productivity. This work focuses on using ensemble classification in conjunction with hybrid Law's mask, LBP, GLCM to improve classification results. The suggested method demonstrates that an ensemble of the chosen classifiers can outperform individual classifiers. Because ensemble classification has shown to be more accurate, the features used are also important in achieving the best results. The studies were carried out on the PlantVillage dataset's sick leaf photos of bell pepper, potato, and tomato.","","978-1-6654-1703-7","10.1109/ICRITO51393.2021.9596456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9596456","Leaf disease;feature extraction;ensemble classification","Productivity;Industries;Service robots;Crops;Terrestrial atmosphere;Feature extraction;Market research","","6","","6","IEEE","15 Nov 2021","","","IEEE","IEEE Conferences"
